,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Hertha BSC,1.04,6.35,-5.31,1.04,4.83,-3.79,0,1.53,-1.53,1.04,6.35,-5.31,1,6,-5,0.31,47.1,31.79,37.15,1.03,1.54,104,7,9,27,8.74,17.53,12.3,6,10,9,2,6,18.9,8.67,31.53,36.44,13.97,5.15,0,Arminia Bielefeld 6-1 Hertha BSC,2026-05-17,L,0,0,0,1,-15.310000000000002,-0.51,0.18,-0.18,1.0097087378640777,1.0097087378640777,4.123376623376623,3.1363636363636362
1,Hertha BSC,0.69,1.83,-1.14,0.69,1.55,-0.86,0,0.28,-0.28,0.69,1.83,-1.14,2,1,1,2.14,34.8,25.8,42.6,0.21,1.3,119,2,8,29,38.1,22.31,17.91,2,3,7,2,11,24.3,8.03,84.13,74.68,19.93,8.71,0,Hertha BSC 2-1 Greuther Fürth,2026-05-10,W,3,1,0,0,-8.999999999999996,-1.09,0.55,2.45,3.2857142857142856,3.2857142857142856,1.4076923076923078,1.1923076923076923
2,Hertha BSC,1.22,0.86,0.36,0.52,0.86,-0.34,0.69,0,0.69,1.22,0.86,0.36,0,1,-1,-1.36,53.2,62.61,54.08,0.91,0.37,295,17,14,7,15.38,18.92,13.22,5,1,28,7,11,166.3,78.93,56.53,64.88,164.5,86.82,0,Magdeburg 1-0 Hertha BSC,2026-05-03,L,0,0,0,1,9.409999999999997,0.54,1.89,-1.89,1.3406593406593406,0.5714285714285714,2.324324324324324,2.324324324324324
3,Hertha BSC,1.8,0.5,1.3,1.75,0.47,1.28,0.05,0.02,0.03,1.8,0.5,1.3,0,1,-1,-2.3,59.5,71.06,51.62,0.53,0.11,226,16,23,6,43.4,54.55,9.17,6,5,29,5,6,208.1,91.71,54.93,53.78,208.63,87.21,4,Hertha BSC 0-1 Holstein Kiel,2026-04-25,L,0,0,0,1,11.560000000000002,0.42000000000000004,2.63,-2.63,3.3962264150943398,3.30188679245283,4.545454545454546,4.2727272727272725
4,Hertha BSC,2.45,1.21,1.24,1.67,0.72,0.95,0.02,0.48,-0.46,1.69,1.21,0.48,1,1,0,-1.24,42.9,38.77,45.25,0.36,0.53,142,9,10,16,27.78,30.19,10.44,1,3,10,2,14,35.8,24.42,59.47,61.22,61.63,44.35,2,Eintracht Braunschweig 1-1 Hertha BSC,2026-04-19,D,1,0,1,0,-4.1299999999999955,-0.17000000000000004,2.24,-1.24,6.805555555555556,4.638888888888889,2.283018867924528,1.3584905660377358
5,Hertha BSC,1.57,1.52,0.05,1.54,0.98,0.56,0.04,0.55,-0.51,1.57,1.52,0.05,0,1,-1,-1.05,59.6,63.14,50.05,0.87,0.88,237,18,19,11,21.84,12.5,10,6,3,26,5,11,129.7,75.94,29.27,31.18,81.27,58.61,5,Hertha BSC 0-1 Kaiserslautern,2026-04-11,L,0,0,0,1,3.539999999999999,-0.010000000000000009,1.54,-1.54,1.8045977011494254,1.7701149425287357,1.7272727272727273,1.1136363636363635
6,Hertha BSC,1.14,2.05,-0.91,1.14,1.12,0.02,0,0.16,-0.16,1.14,1.29,-0.15,1,0,1,1.91,41.8,33.99,42.63,0.48,0.77,144,7,10,13,20.83,16.88,15.71,6,5,14,3,14,77.4,31.3,79.4,65.08,82.87,40.55,0,Dynamo Dresden 0-1 Hertha BSC,2026-04-04,W,3,1,0,0,-7.809999999999995,-0.29000000000000004,0.87,2.13,2.375,2.375,2.662337662337662,1.4545454545454546
7,Hertha BSC,1.9,1.18,0.72,1.9,0.89,1.01,0,0.29,-0.29,1.9,1.18,0.72,5,2,3,2.28,41.6,37.15,45.09,0.54,1.07,151,10,12,17,22.22,15.89,19.08,1,2,9,1,7,37.1,23.71,74.27,71.5,157.97,82.16,1,Fortuna Düsseldorf 2-5 Hertha BSC,2026-03-22,W,3,1,0,0,-4.450000000000003,-0.53,2.03,0.97,3.518518518518518,3.518518518518518,1.102803738317757,0.8317757009345794
8,Hertha BSC,1.4,0.97,0.43,0.63,0.56,0.07,0.01,0.41,-0.4,0.64,0.97,-0.33,1,1,0,-0.43,47.9,49.81,43.9,0.35,0.42,173,10,11,8,31.43,19.05,12.16,8,4,13,5,12,93.3,50.71,62.53,52.79,104.7,55.05,1,Hertha BSC 1-1 Bochum,2026-03-14,D,1,0,1,0,1.9100000000000037,-0.07,1.91,-0.91,4,1.8,2.3095238095238098,1.3333333333333335
9,Hertha BSC,2.84,0.56,2.28,1.33,0.38,0.95,0.75,0.18,0.57,2.08,0.56,1.52,2,1,1,-1.28,59,65.32,49.81,0.44,0.62,251,12,15,11,34.09,17.74,9.8,10,2,30,8,9,146.7,75,14.27,18.55,118.3,63.26,1,Preußen Münster 1-2 Hertha BSC,2026-03-08,W,3,1,0,0,6.319999999999993,-0.18,2.77,0.23,6.454545454545454,3.022727272727273,0.903225806451613,0.6129032258064516
