,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Arminia Bielefeld,6.35,1.04,5.31,4.83,1.04,3.79,1.53,0,1.53,6.35,1.04,5.31,6,1,5,-0.31,52.9,68.21,51.42,1.54,1.03,225,23,27,9,17.53,8.74,8.89,10,6,27,9,14,199.1,91.33,55,63.56,257.46,94.85,9,Arminia Bielefeld 6-1 Hertha BSC,2026-05-17,W,3,1,0,0,15.309999999999995,0.51,2.82,0.18,4.123376623376623,3.1363636363636362,1.0097087378640777,1.0097087378640777
1,Arminia Bielefeld,1.98,2.11,-0.13,1.97,1.25,0.72,0.02,0.09,-0.07,1.98,1.35,0.63,0,2,-2,-1.87,63,64.57,46.57,1.07,0.4,227,16,19,12,17.76,30,5.93,5,0,28,6,13,116.9,70.21,14.33,13.61,61.67,33.62,12,Kaiserslautern 2-0 Arminia Bielefeld,2026-05-08,L,0,0,0,1,1.5699999999999932,0.67,1.43,-1.43,1.8504672897196262,1.8411214953271027,5.2749999999999995,3.125
2,Arminia Bielefeld,1.17,0.41,0.76,0.26,0.41,-0.15,0.15,0,0.15,0.41,0.41,0,1,1,0,-0.76,49.6,51.7,48.55,0.48,0.27,157,16,8,6,16.67,22.22,9.96,7,5,29,8,6,76,52.78,48.07,59.05,80.97,64.16,11,Arminia Bielefeld 1-1 Bochum,2026-05-02,D,1,0,1,0,2.1000000000000014,0.20999999999999996,2.5,-1.5,2.4375,0.5416666666666667,1.5185185185185184,1.5185185185185184
3,Arminia Bielefeld,1.3,2.55,-1.25,1.01,1.35,-0.34,0.29,1.19,-0.9,1.3,2.55,-1.25,3,2,1,2.25,40,46.15,48.06,0.67,0.94,132,11,12,18,17.91,19.15,11.58,8,3,17,1,9,52.8,34.81,101.33,85.68,136.1,79.92,8,Preußen Münster 2-3 Arminia Bielefeld,2026-04-25,W,3,1,0,0,6.149999999999999,-0.2699999999999999,0.79,2.21,1.9402985074626866,1.507462686567164,2.7127659574468086,1.4361702127659577
4,Arminia Bielefeld,0.87,1.2,-0.33,0.75,1.18,-0.43,0.12,0.02,0.1,0.87,1.2,-0.33,1,1,0,0.33,66.1,58.53,46.59,0.47,0.65,224,8,10,9,21.28,13.85,6.17,7,2,15,2,12,91.2,67.71,1.47,1.4,26,19.03,9,Arminia Bielefeld 1-1 Nürnberg,2026-04-18,D,1,0,1,0,-7.569999999999993,-0.18000000000000005,1.14,-0.14,1.8510638297872342,1.595744680851064,1.846153846153846,1.8153846153846152
5,Arminia Bielefeld,2.27,1.48,0.79,1.55,1.4,0.15,0.72,0.08,0.64,2.27,1.48,0.79,1,4,-3,-3.79,60.9,64.59,49.97,1.35,0.51,252,19,22,12,16.3,23.53,12.14,1,3,41,13,11,161.8,71.53,19,20.74,115.67,52.84,12,Karlsruher SC 4-1 Arminia Bielefeld,2026-04-10,L,0,0,0,1,3.690000000000005,0.8400000000000001,1.98,-1.98,1.6814814814814814,1.1481481481481481,2.9019607843137254,2.745098039215686
6,Arminia Bielefeld,3.18,0.31,2.87,2.73,0.31,2.42,0.45,0,0.45,3.18,0.31,2.87,2,1,1,-1.87,53.3,63.03,51.39,1.44,0.54,216,21,25,7,17.36,12.96,10.06,5,3,43,8,10,156.7,85.12,57.33,60.99,161.4,83.61,6,Arminia Bielefeld 2-1 Darmstadt 98,2026-04-04,W,3,1,0,0,9.730000000000004,0.8999999999999999,2.92,0.08,2.2083333333333335,1.8958333333333335,0.5740740740740741,0.5740740740740741
7,Arminia Bielefeld,0.61,3.32,-2.71,0.57,2.77,-2.2,0.04,0.54,-0.5,0.61,3.32,-2.71,1,3,-2,0.71,42,29.41,38.33,0.41,1.79,99,5,4,28,9.76,15.64,12.96,4,5,9,1,7,15.6,6.24,72.47,49.34,17.97,4.93,1,Elversberg 3-1 Arminia Bielefeld,2026-03-21,L,0,0,0,1,-12.59,-1.3800000000000001,0.21,-0.21,1.4878048780487805,1.3902439024390243,1.8547486033519551,1.547486033519553
8,Arminia Bielefeld,3.36,0.89,2.47,2.24,0.89,1.35,0.36,0,0.36,2.6,0.89,1.71,2,2,0,-2.47,40.4,46.46,43.11,1.07,0.51,113,18,26,7,24.3,13.73,11.64,3,6,19,4,14,117.4,72.29,102.07,82.62,173.67,88.23,6,Arminia Bielefeld 2-2 Paderborn,2026-03-14,D,1,0,1,0,6.060000000000002,0.56,2.65,-1.65,3.1401869158878504,2.093457943925234,1.7450980392156863,1.7450980392156863
9,Arminia Bielefeld,1.35,3.16,-1.81,1.33,1.26,0.07,0.01,1.89,-1.88,1.35,3.16,-1.81,0,1,-1,0.81,54.8,47.35,44.75,1.18,0.83,157,18,12,24,10.17,28.92,10.71,1,4,13,2,13,79.1,36.02,9.4,17.76,56.63,23.37,9,Schalke 04 1-0 Arminia Bielefeld,2026-03-06,L,0,0,0,1,-7.449999999999996,0.35,0.64,-0.64,1.1440677966101696,1.1271186440677967,3.807228915662651,1.5180722891566265
10,Arminia Bielefeld,1.98,1.11,0.87,1.34,0.29,1.05,0.64,0.05,0.59,1.98,0.35,1.63,0,1,-1,-1.87,43.3,58.63,50.31,1.28,0.25,200,22,22,6,17.19,24,8.96,13,4,27,9,19,142.2,73.22,143.27,93.35,224.33,93.51,10,Arminia Bielefeld 0-1 Hannover 96,2026-02-28,L,0,0,0,1,15.330000000000005,1.03,2.13,-2.13,1.546875,1.046875,4.44,1.16
11,Arminia Bielefeld,1.12,1.39,-0.27,0.57,1.39,-0.82,0.55,0,0.55,1.12,1.39,-0.27,1,2,-1,-0.73,56,65.36,49.68,0.81,0.24,259,28,15,5,18.52,20.83,8.8,3,2,28,10,18,138.7,83.35,52.53,58.85,147.1,83.87,11,Greuther Fürth 2-1 Arminia Bielefeld,2026-02-20,L,0,0,0,1,9.36,0.5700000000000001,1.25,-1.25,1.3827160493827162,0.7037037037037036,5.791666666666666,5.791666666666666
12,Arminia Bielefeld,1.7,1.6,0.1,1.4,1.37,0.03,0.31,0.23,0.08,1.7,1.6,0.1,2,0,2,1.9,41.1,43.82,50.41,0.74,1.18,163,18,14,19,18.92,16.1,11.35,5,1,24,4,14,69.1,33.37,84.27,97.01,116.07,64.82,9,Magdeburg 0-2 Arminia Bielefeld,2026-02-15,W,3,1,0,0,2.719999999999999,-0.43999999999999995,1.57,1.43,2.2972972972972974,1.8918918918918919,1.3559322033898307,1.1610169491525426
13,Arminia Bielefeld,2.25,1.15,1.1,1.76,1.14,0.62,0.49,0.01,0.48,2.25,1.15,1.1,3,2,1,-0.1,46.8,53.92,47.97,0.76,0.7,189,16,20,10,26.32,14.29,10.42,4,3,34,9,13,127.9,64.86,61.13,78.78,149.5,76.69,6,Arminia Bielefeld 3-2 Eintracht Braunschweig,2026-02-08,W,3,1,0,0,7.1200000000000045,0.06000000000000005,2.21,0.79,2.9605263157894735,2.3157894736842106,1.6428571428571428,1.6285714285714286
14,Arminia Bielefeld,1.44,1.22,0.22,0.6,0.65,-0.05,0.08,0.57,-0.49,0.68,1.22,-0.54,1,1,0,-0.22,53.3,60.08,48.67,0.92,0.24,236,16,17,12,18.48,50,14.29,4,5,26,5,12,110,68.24,52.07,55.12,111.67,71.19,9,Dynamo Dresden 1-1 Arminia Bielefeld,2026-02-01,D,1,0,1,0,6.780000000000001,0.68,1.69,-0.69,1.5652173913043477,0.6521739130434782,5.083333333333333,2.7083333333333335
15,Arminia Bielefeld,1.94,1.28,0.66,1.15,1.07,0.08,0.03,0.21,-0.18,1.18,1.28,-0.1,2,2,0,-0.66,61.2,75.46,53.83,1.67,0.34,315,18,14,9,8.38,26.47,6.4,12,0,41,5,10,193.5,84.2,68.53,56.8,252.8,94.73,2,Arminia Bielefeld 2-2 Holstein Kiel,2026-01-23,D,1,0,1,0,14.259999999999991,1.3299999999999998,1.96,-0.96,1.1616766467065869,0.688622754491018,3.764705882352941,3.1470588235294117
