,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Bochum,1.35,2.21,-0.86,1.35,1.23,0.12,0,0.98,-0.98,1.35,2.21,-0.86,2,1,1,1.86,38.6,41.59,44.21,0.3,0.94,146,4,11,16,36.67,17.02,18.44,3,2,6,2,8,30.1,18.63,103.93,89.13,84.43,60.57,2,Karlsruher SC 1-2 Bochum,2026-05-17,W,3,1,0,0,2.990000000000002,-0.6399999999999999,0.96,2.04,4.500000000000001,4.500000000000001,2.351063829787234,1.3085106382978724
1,Bochum,1.53,1.05,0.48,1.13,0.78,0.35,0.4,0.27,0.13,1.53,1.05,0.48,1,1,0,-0.48,41.5,37.05,41.91,0.21,1.1,133,9,10,10,47.62,9.09,15.07,3,10,10,4,16,51.8,34.51,132.13,81.1,109.5,65.31,4,Bochum 1-1 Hannover 96,2026-05-09,D,1,0,1,0,-4.450000000000003,-0.8900000000000001,1.92,-0.92,7.2857142857142865,5.3809523809523805,0.9545454545454545,0.7090909090909091
2,Bochum,0.41,1.17,-0.76,0.41,0.26,0.15,0,0.15,-0.15,0.41,0.41,0,1,1,0,0.76,50.4,48.3,48.72,0.27,0.48,159,12,6,8,22.22,16.67,9.96,5,7,21,2,14,68,47.22,33.33,40.95,45.23,35.84,3,Arminia Bielefeld 1-1 Bochum,2026-05-02,D,1,0,1,0,-2.1000000000000014,-0.20999999999999996,0.5,0.5,1.5185185185185184,1.5185185185185184,2.4375,0.5416666666666667
3,Bochum,1.8,1.73,0.07,1.49,1.69,-0.2,0.3,0.04,0.26,1.8,1.73,0.07,2,1,1,0.93,35.8,51.19,51.58,0.82,0.76,173,19,17,14,20.73,18.42,19.84,5,2,16,5,12,71.2,51.71,125.93,98.59,208.3,93.69,7,Bochum 2-1 Greuther Fürth,2026-04-26,W,3,1,0,0,15.39,0.05999999999999994,1.55,1.45,2.1951219512195124,1.8170731707317074,2.276315789473684,2.2236842105263155
4,Bochum,0.57,1.9,-1.33,0.57,1.9,-1.33,0,0,0,0.57,1.9,-1.33,0,2,-2,-0.67,48.9,69.81,48.53,0.71,0.98,239,14,13,9,18.31,9.18,14.2,3,3,13,5,15,125.3,73.4,106.33,70.39,153.53,68.62,4,Dynamo Dresden 2-0 Bochum,2026-04-18,L,0,0,0,1,20.910000000000004,-0.27,0.41,-0.41,0.8028169014084506,0.8028169014084506,1.9387755102040816,1.9387755102040816
5,Bochum,3.04,0.72,2.32,2.28,0.71,1.57,0,0.01,-0.01,2.28,0.72,1.56,4,1,3,0.68,41.9,42.29,45.05,0.57,0.36,148,12,15,15,26.32,41.67,13.07,4,7,14,2,15,73.6,45.66,78.8,82.66,152.16,80.11,3,Bochum 4-1 Eintracht Braunschweig,2026-04-12,W,3,1,0,0,0.39000000000000057,0.20999999999999996,2.7,0.3,5.333333333333334,4,2,1.972222222222222
6,Bochum,1.49,2.15,-0.66,1.26,2.09,-0.83,0.23,0.05,0.18,1.49,2.15,-0.66,1,4,-3,-2.34,46.8,51.53,49.18,0.95,0.86,228,13,18,12,18.95,13.95,20.67,4,4,17,3,11,104.3,56.87,58.87,45.68,66.89,36.27,0,Magdeburg 4-1 Bochum,2026-04-04,L,0,0,0,1,4.730000000000004,0.08999999999999997,1.09,-1.09,1.568421052631579,1.3263157894736843,2.5,2.4302325581395348
7,Bochum,1.4,2.3,-0.9,1.12,2.16,-1.04,0.28,0.14,0.14,1.4,2.3,-0.9,2,3,-1,-0.1,47.1,63.71,48.21,0.59,0.82,167,26,20,10,33.9,12.2,9.78,2,2,19,2,11,131.6,72.47,100.13,81.45,176.8,82.71,7,Bochum 2-3 Holstein Kiel,2026-03-22,L,0,0,0,1,16.61,-0.22999999999999998,0.95,-0.95,2.3728813559322033,1.898305084745763,2.8048780487804876,2.6341463414634148
8,Bochum,0.97,1.4,-0.43,0.56,0.63,-0.07,0.41,0.01,0.4,0.97,0.64,0.33,1,1,0,0.43,52.1,50.19,42.05,0.42,0.35,165,10,8,11,19.05,31.43,12.47,4,8,16,6,13,90.7,49.29,55.93,47.21,85.5,44.95,0,Hertha BSC 1-1 Bochum,2026-03-14,D,1,0,1,0,-1.9100000000000037,0.07,1.09,-0.09,2.3095238095238098,1.3333333333333335,4,1.8
9,Bochum,2.72,1.94,0.78,2,1.81,0.19,0.72,0.14,0.58,2.72,1.94,0.78,3,2,1,0.22,56.1,62.87,46.67,1.05,1.22,223,10,17,9,16.19,7.38,10.81,4,0,14,5,13,117.5,77.71,51.8,51.32,123.6,81.51,2,Bochum 3-2 Kaiserslautern,2026-03-07,W,3,1,0,0,6.769999999999996,-0.16999999999999993,1.88,1.12,2.5904761904761906,1.9047619047619047,1.5901639344262295,1.4836065573770492
