,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Eintracht Braunschweig,0.4,2.02,-1.62,0.19,1.92,-1.73,0.21,0.1,0.11,0.4,2.02,-1.62,0,1,-1,0.62,31.7,31.64,44.05,0.32,1.01,129,5,6,13,18.75,12.87,20.9,4,5,10,4,10,39.6,17.3,158.6,97.06,78.87,41.03,1,Schalke 04 1-0 Eintracht Braunschweig,2026-05-17,L,0,0,0,1,-0.05999999999999872,-0.69,0.23,-0.23,1.25,0.59375,2,1.900990099009901
1,Eintracht Braunschweig,1.27,1.88,-0.61,1.22,0.89,0.33,0.04,0.23,-0.19,1.27,1.12,0.15,2,1,1,1.61,29.5,33.55,47.91,0.52,1.13,119,7,9,14,17.31,12.39,18.3,3,8,16,5,13,26.1,13.7,142.27,97.98,108.63,57.81,2,Eintracht Braunschweig 2-1 Dynamo Dresden,2026-05-09,W,3,1,0,0,4.049999999999997,-0.6099999999999999,1.06,1.94,2.442307692307692,2.346153846153846,1.6637168141592922,0.7876106194690267
2,Eintracht Braunschweig,0.65,2.04,-1.39,0.53,1.97,-1.44,0.12,0.07,0.05,0.65,2.04,-1.39,0,2,-2,-0.61,46.2,53.06,43.88,0.69,0.68,132,14,9,12,13.04,17.65,8.8,11,2,18,5,12,67.8,40.77,70.73,68.76,98.8,46.44,10,Holstein Kiel 2-0 Eintracht Braunschweig,2026-05-02,L,0,0,0,1,6.859999999999999,0.009999999999999898,0.44,-0.44,0.9420289855072465,0.7681159420289856,3,2.8970588235294117
3,Eintracht Braunschweig,1.73,1.08,0.65,1.73,0.92,0.81,0,0.16,-0.16,1.73,1.08,0.65,2,0,2,1.35,26.4,25.71,43.2,0.34,0.89,97,3,8,13,23.53,14.61,25.48,4,8,6,1,12,13.7,7.29,152.6,97.2,89.17,78.05,2,Kaiserslautern 0-2 Eintracht Braunschweig,2026-04-24,W,3,1,0,0,-0.6899999999999977,-0.55,2.02,0.98,5.088235294117647,5.088235294117647,1.2134831460674158,1.0337078651685394
4,Eintracht Braunschweig,1.21,2.45,-1.24,0.72,1.67,-0.95,0.48,0.02,0.46,1.21,1.69,-0.48,1,1,0,1.24,57.1,61.23,50.67,0.53,0.36,238,17,16,10,30.19,27.78,9.03,3,1,25,8,15,110.8,75.58,37.67,38.78,77.33,55.65,5,Eintracht Braunschweig 1-1 Hertha BSC,2026-04-19,D,1,0,1,0,4.1299999999999955,0.17000000000000004,0.76,0.24,2.283018867924528,1.3584905660377358,6.805555555555556,4.638888888888889
5,Eintracht Braunschweig,0.72,3.04,-2.32,0.71,2.28,-1.57,0.01,0,0.01,0.72,2.28,-1.56,1,4,-3,-0.68,58.1,57.71,47.6,0.36,0.57,228,4,15,15,41.67,26.32,8.84,7,4,19,5,4,87.6,54.34,16.53,17.34,37.77,19.89,3,Bochum 4-1 Eintracht Braunschweig,2026-04-12,L,0,0,0,1,-0.39000000000000057,-0.20999999999999996,0.3,-0.3,2,1.972222222222222,5.333333333333334,4
6,Eintracht Braunschweig,1.52,1.53,-0.01,1.37,1.4,-0.03,0.14,0.13,0.01,1.52,1.53,-0.01,1,1,0,0.01,49.2,46.67,45.39,0.42,1.02,171,11,16,10,38.1,9.8,7.21,7,5,20,9,13,70.9,43.15,54.2,61.4,88.77,46.02,3,Eintracht Braunschweig 1-1 Nürnberg,2026-04-05,D,1,0,1,0,-2.530000000000001,-0.6000000000000001,1.49,-0.49,3.619047619047619,3.2619047619047623,1.5,1.372549019607843
7,Eintracht Braunschweig,1.83,0.77,1.06,1.66,0.57,1.09,0.18,0.2,-0.02,1.83,0.77,1.06,0,1,-1,-2.06,50,56.15,47.07,0.69,0.59,210,15,16,10,23.19,16.95,11.32,2,9,11,6,15,119.9,65.52,85.27,73.42,166.27,68.47,5,Hannover 96 1-0 Eintracht Braunschweig,2026-03-20,L,0,0,0,1,6.149999999999999,0.09999999999999998,2.37,-2.37,2.6521739130434785,2.4057971014492754,1.305084745762712,0.9661016949152542
8,Eintracht Braunschweig,2.03,0.49,1.54,2.01,0.3,1.71,0.02,0.2,-0.18,2.03,0.49,1.54,1,0,1,-0.54,49.9,53.38,45.03,0.6,0.48,167,8,16,9,26.67,18.75,10.06,10,5,18,4,10,112.1,68.1,59.2,54.55,123.03,75.48,5,Eintracht Braunschweig 1-0 Fortuna Düsseldorf,2026-03-14,W,3,1,0,0,3.480000000000004,0.12,2.7,0.3,3.3833333333333333,3.3499999999999996,1.0208333333333333,0.625
9,Eintracht Braunschweig,0.68,1.53,-0.85,0.65,1.47,-0.82,0.03,0.06,-0.03,0.68,1.53,-0.85,1,1,0,0.85,32,22.7,38.57,0.24,1.47,83,1,6,18,25,12.24,16.88,1,8,6,5,18,16.7,8.52,108.27,94.58,50.7,36.92,2,Paderborn 1-1 Eintracht Braunschweig,2026-03-07,D,1,0,1,0,-9.3,-1.23,0.67,0.33,2.8333333333333335,2.7083333333333335,1.0408163265306123,1
