,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Darmstadt 98,3.18,1.83,1.35,3.14,0.98,2.16,0.03,0.09,-0.06,3.18,1.07,2.11,0,2,-2,-3.35,50.3,60.08,46.87,1.6,0.66,179,26,23,7,14.38,10.61,12.45,9,4,25,5,11,150.7,78.86,39.07,45.71,110.93,68.06,3,Darmstadt 98 0-2 Paderborn,2026-05-17,L,0,0,0,1,9.780000000000001,0.9400000000000001,2.1,-2.1,1.9875,1.9625,2.7727272727272725,1.4848484848484849
1,Darmstadt 98,2.26,0.93,1.33,1.17,0.91,0.26,0.33,0.02,0.31,1.5,0.93,0.57,1,1,0,-1.33,72.1,68.02,52.86,1.46,0.51,374,32,22,10,15.07,19.61,6.59,3,2,31,7,10,208.7,86.53,1.67,1.07,108.03,55.89,1,Preußen Münster 1-1 Darmstadt 98,2026-05-10,D,1,0,1,0,-4.079999999999998,0.95,2.39,-1.39,1.547945205479452,0.8013698630136986,1.8235294117647058,1.7843137254901962
2,Darmstadt 98,1.54,2.77,-1.23,1.54,2.52,-0.98,0,0.25,-0.25,1.54,2.77,-1.23,1,2,-1,0.23,52.3,50.47,47.49,0.7,0.99,211,14,14,22,20,22.22,15.85,1,3,12,3,10,95.9,46.73,24.47,23.8,63.3,31.36,1,Karlsruher SC 2-1 Darmstadt 98,2026-05-03,L,0,0,0,1,-1.8299999999999983,-0.29000000000000004,0.87,-0.87,2.2,2.2,2.797979797979798,2.5454545454545454
3,Darmstadt 98,1.74,1.66,0.08,1.45,1.24,0.21,0.29,0.42,-0.13,1.74,1.66,0.08,3,3,0,-0.08,47.4,35.92,45.25,0.61,0.84,160,12,13,17,21.31,20.24,7.69,6,4,15,5,10,50.2,25.35,41.4,44.2,38.13,21.49,0,Darmstadt 98 3-3 Elversberg,2026-04-25,D,1,0,1,0,-11.479999999999997,-0.22999999999999998,1.55,-0.55,2.8524590163934427,2.377049180327869,1.9761904761904763,1.4761904761904763
4,Darmstadt 98,1.92,3.87,-1.95,1.66,2.82,-1.16,0.25,0.29,-0.04,1.92,3.11,-1.19,2,3,-1,0.95,56,52.89,47.4,0.4,1.24,276,12,12,20,30,16.13,15.55,3,4,20,3,10,84.7,39.51,17.8,14.12,44.8,20.88,1,Greuther Fürth 3-2 Darmstadt 98,2026-04-19,L,0,0,0,1,-3.1099999999999994,-0.84,0.76,-0.76,4.8,4.1499999999999995,3.120967741935484,2.2741935483870965
5,Darmstadt 98,1.37,1.85,-0.48,1.31,1.85,-0.54,0.06,0,0.06,1.37,1.85,-0.48,0,2,-2,-1.52,57.2,53.29,44.66,0.96,0.74,219,16,16,11,16.67,14.86,11.93,4,2,13,2,9,129.1,55.46,30.8,25.27,42.63,22.29,1,Darmstadt 98 0-2 Hannover 96,2026-04-11,L,0,0,0,1,-3.9100000000000037,0.21999999999999997,1.16,-1.16,1.4270833333333335,1.3645833333333335,2.5,2.5
6,Darmstadt 98,0.31,3.18,-2.87,0.31,2.73,-2.42,0,0.45,-0.45,0.31,3.18,-2.87,1,2,-1,1.87,46.7,36.97,41.13,0.54,1.44,116,8,7,25,12.96,17.36,11.67,3,5,12,4,16,27.4,14.88,36.67,39.01,31.63,16.39,0,Arminia Bielefeld 2-1 Darmstadt 98,2026-04-04,L,0,0,0,1,-9.730000000000004,-0.8999999999999999,0.08,-0.08,0.5740740740740741,0.5740740740740741,2.2083333333333335,1.8958333333333335
7,Darmstadt 98,1.25,2.56,-1.31,0.75,1.56,-0.81,0.5,1,-0.5,1.25,2.56,-1.31,1,1,0,1.31,59.9,44.83,39.38,0.34,0.48,145,11,10,16,29.41,33.33,8.71,2,4,20,11,15,58.9,37.18,5.33,4.4,28.77,13.62,2,Darmstadt 98 1-1 Schalke 04,2026-03-21,D,1,0,1,0,-15.07,-0.13999999999999996,0.75,0.25,3.676470588235294,2.205882352941176,5.333333333333334,3.2500000000000004
8,Darmstadt 98,0.66,1.26,-0.6,0.66,1.15,-0.49,0,0.11,-0.11,0.66,1.26,-0.6,1,1,0,0.6,43.4,36.12,44.57,0.51,0.85,150,8,10,18,19.61,21.18,17.3,1,9,12,1,10,37.7,19.06,78.47,80.12,65.33,39.13,4,Magdeburg 1-1 Darmstadt 98,2026-03-13,D,1,0,1,0,-7.280000000000001,-0.33999999999999997,0.81,0.19,1.2941176470588236,1.2941176470588236,1.4823529411764707,1.352941176470588
9,Darmstadt 98,2.87,1.52,1.35,2.65,0.94,1.71,0.22,0.58,-0.36,2.87,1.52,1.35,2,0,2,0.65,67,69.6,49.03,1.35,0.4,300,16,15,7,11.11,17.5,7.81,6,6,16,1,12,186.1,81.44,13.73,10.3,217.73,77.82,4,Darmstadt 98 2-0 Holstein Kiel,2026-03-07,W,3,1,0,0,2.5999999999999943,0.9500000000000001,2.18,0.82,2.1259259259259258,1.9629629629629628,3.8,2.3499999999999996
