,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Dynamo Dresden,1.05,1.26,-0.21,0.61,0.42,0.19,0.44,0.08,0.36,1.05,0.5,0.55,2,1,1,1.21,41.1,39.45,43.19,0.38,0.49,135,10,10,9,26.32,18.37,10.52,6,9,13,3,14,67.2,34.18,87.33,79.3,154.53,64.57,0,Dynamo Dresden 2-1 Holstein Kiel,2026-05-17,W,3,1,0,0,-1.6499999999999986,-0.10999999999999999,1.29,1.71,2.763157894736842,1.6052631578947367,2.5714285714285716,0.8571428571428571
1,Dynamo Dresden,1.88,1.27,0.61,0.89,1.22,-0.33,0.23,0.04,0.19,1.12,1.27,-0.15,1,2,-1,-1.61,70.5,66.45,49.1,1.13,0.52,303,23,14,9,12.39,17.31,7.88,8,3,30,9,7,164.4,86.3,2.93,2.02,79.27,42.19,1,Eintracht Braunschweig 2-1 Dynamo Dresden,2026-05-09,L,0,0,0,1,-4.049999999999997,0.6099999999999999,1.94,-1.94,1.6637168141592922,0.7876106194690267,2.442307692307692,2.346153846153846
2,Dynamo Dresden,1.67,0.21,1.46,0.98,0.15,0.83,0.68,0.07,0.61,1.67,0.21,1.46,1,0,1,-0.46,52.9,40.09,38.69,0.31,0.79,138,9,15,5,48.39,6.33,14.36,0,2,10,7,9,79.2,59.41,53.2,39.29,73.63,49.53,1,Dynamo Dresden 1-0 Kaiserslautern,2026-05-02,W,3,1,0,0,-12.809999999999995,-0.48000000000000004,2.88,0.12,5.387096774193548,3.161290322580645,0.26582278481012656,0.18987341772151897
3,Dynamo Dresden,1.6,1.38,0.22,1.55,1.24,0.31,0.05,0.13,-0.08,1.6,1.38,0.22,1,3,-2,-2.22,66,65.05,46.25,1,0.42,259,21,17,9,17,21.43,9.56,6,4,25,6,6,153.5,74.41,7.73,5.3,93.53,31.34,5,Fortuna Düsseldorf 3-1 Dynamo Dresden,2026-04-24,L,0,0,0,1,-0.9500000000000028,0.5800000000000001,1.67,-1.67,1.6,1.55,3.2857142857142856,2.9523809523809526
4,Dynamo Dresden,1.9,0.57,1.33,1.9,0.57,1.33,0,0,0,1.9,0.57,1.33,2,0,2,0.67,51.1,30.19,37.18,0.98,0.71,139,7,9,13,9.18,18.31,12.39,3,3,6,4,9,45.4,26.6,44.73,29.61,70.2,31.38,0,Dynamo Dresden 2-0 Bochum,2026-04-18,W,3,1,0,0,-20.91,0.27,2.59,0.41,1.9387755102040816,1.9387755102040816,0.8028169014084506,0.8028169014084506
5,Dynamo Dresden,0.75,1.65,-0.9,0.66,1.57,-0.91,0.09,0.08,0.01,0.75,1.65,-0.9,2,0,2,2.9,46,44.75,42.67,0.52,1.05,160,6,10,16,19.23,15.24,11.58,9,3,12,4,11,50.4,30.43,70.87,57.15,50.93,30.97,1,Nürnberg 0-2 Dynamo Dresden,2026-04-11,W,3,1,0,0,-1.25,-0.53,0.69,2.31,1.4423076923076923,1.2692307692307692,1.5714285714285712,1.4952380952380953
6,Dynamo Dresden,2.05,1.14,0.91,1.12,1.14,-0.02,0.16,0,0.16,1.29,1.14,0.15,0,1,-1,-1.91,58.2,66.01,48.6,0.77,0.48,287,12,13,10,16.88,20.83,10.5,5,6,27,6,11,169.9,68.7,42.6,34.92,121.47,59.45,3,Dynamo Dresden 0-1 Hertha BSC,2026-04-04,L,0,0,0,1,7.810000000000002,0.29000000000000004,2.13,-2.13,2.662337662337662,1.4545454545454546,2.375,2.375
7,Dynamo Dresden,1.66,3.35,-1.69,1.51,2.73,-1.22,0.15,0.62,-0.47,1.66,3.35,-1.69,1,2,-1,0.69,47.3,29.08,34.52,0.44,1.73,102,7,16,22,36.36,12.72,17.5,5,8,11,5,8,22.1,12.66,41.2,39.9,34.7,17.06,0,Paderborn 2-1 Dynamo Dresden,2026-03-21,L,0,0,0,1,-18.22,-1.29,0.76,-0.76,3.7727272727272725,3.4318181818181817,1.9364161849710984,1.5780346820809248
8,Dynamo Dresden,5.13,0.74,4.39,3.88,0.48,3.4,1.25,0.26,0.99,5.13,0.74,4.39,6,0,6,1.61,45.2,43.33,40.2,0.38,0.42,157,12,18,13,47.37,30.95,24.67,4,6,12,5,5,96.7,54.05,112.73,62.58,283.07,83.72,0,Dynamo Dresden 6-0 Preußen Münster,2026-03-15,W,3,1,0,0,-1.8700000000000045,-0.03999999999999998,2.85,0.15,13.5,10.210526315789473,1.7619047619047619,1.1428571428571428
9,Dynamo Dresden,2.17,3.18,-1.01,2.11,1.22,0.89,0.06,0.44,-0.38,2.17,1.66,0.51,3,3,0,1.01,50.5,45.05,45.43,0.62,0.9,206,13,12,22,19.35,24.44,14.61,5,6,15,5,10,96.1,34.84,60.87,40.92,83.6,38.7,2,Karlsruher SC 3-3 Dynamo Dresden,2026-03-08,D,1,0,1,0,-5.450000000000003,-0.28,1.07,-0.07,3.5,3.4032258064516125,3.533333333333333,1.3555555555555554
10,Dynamo Dresden,2.08,1.76,0.32,2.02,1.18,0.84,0.06,0.58,-0.52,2.08,1.76,0.32,3,1,2,1.68,49,45.61,44.47,0.71,0.68,202,13,19,17,26.76,25,12.58,3,4,15,1,18,97.7,48.85,52.93,45.55,146.74,63.07,0,Dynamo Dresden 3-1 Darmstadt 98,2026-02-27,W,3,1,0,0,-3.3900000000000006,0.029999999999999916,1.69,1.31,2.9295774647887325,2.8450704225352115,2.5882352941176467,1.7352941176470587
11,Dynamo Dresden,0.78,0.91,-0.13,0.78,0.77,0.01,0,0.14,-0.14,0.78,0.91,-0.13,0,0,0,0.13,43.7,34.23,41.38,0.41,0.59,156,5,6,12,14.63,20.34,12.34,6,2,13,2,13,35.6,15.14,101.4,72.29,85,31.32,2,Hannover 96 0-0 Dynamo Dresden,2026-02-22,D,1,0,1,0,-9.470000000000006,-0.18,1.32,-0.32,1.902439024390244,1.902439024390244,1.5423728813559323,1.305084745762712
12,Dynamo Dresden,0.63,1.25,-0.62,0.34,1.11,-0.77,0.3,0.13,0.17,0.63,1.25,-0.62,1,2,-1,-0.38,44.2,45.11,47.22,0.51,0.62,201,13,14,12,27.45,19.35,11.5,8,4,16,5,14,88.6,38.89,96.87,70.53,113.47,52.38,4,Dynamo Dresden 1-2 Elversberg,2026-02-14,L,0,0,0,1,0.9099999999999966,-0.10999999999999999,0.78,-0.78,1.2352941176470589,0.6666666666666667,2.0161290322580645,1.7903225806451615
13,Dynamo Dresden,0.94,1.67,-0.73,0.28,1.27,-0.99,0.66,0.4,0.26,0.94,1.67,-0.73,2,2,0,0.73,56.4,54.24,43.09,0.38,1.12,200,13,10,16,26.32,14.29,9.31,7,8,11,1,9,96,52.12,19.53,18.61,71.08,29.17,3,Schalke 04 2-2 Dynamo Dresden,2026-02-07,D,1,0,1,0,-2.1599999999999966,-0.7400000000000001,0.88,0.12,2.4736842105263155,0.736842105263158,1.4910714285714284,1.1339285714285714
14,Dynamo Dresden,1.22,1.44,-0.22,0.65,0.6,0.05,0.57,0.08,0.49,1.22,0.68,0.54,1,1,0,0.22,46.7,39.92,40.82,0.24,0.92,136,5,12,17,50,18.48,11.3,5,4,13,3,13,51.2,31.76,42.4,44.88,45.2,28.81,0,Dynamo Dresden 1-1 Arminia Bielefeld,2026-02-01,D,1,0,1,0,-6.780000000000001,-0.68,1.31,-0.31,5.083333333333333,2.7083333333333335,1.5652173913043477,0.6521739130434782
15,Dynamo Dresden,1.64,1.71,-0.07,0.7,1.57,-0.87,0.94,0.15,0.79,1.64,1.71,-0.07,2,1,1,1.07,36.6,38.26,47.57,0.68,1.08,151,16,13,21,19.12,19.44,16.85,3,3,20,5,9,63.3,28.85,124.67,94.73,142.97,63.74,0,Magdeburg 1-2 Dynamo Dresden,2026-01-24,W,3,1,0,0,1.6599999999999966,-0.4,1.45,1.55,2.411764705882353,1.0294117647058822,1.5833333333333333,1.4537037037037037
16,Dynamo Dresden,1.06,0.64,0.42,0.72,0.53,0.19,0.34,0.1,0.24,1.06,0.64,0.42,2,0,2,1.58,51.1,56.1,43.57,0.31,0.51,161,11,12,9,38.71,17.65,10.68,3,3,23,7,11,88,62.54,47.67,61.85,140.9,81.26,3,Dynamo Dresden 2-0 Greuther Fürth,2026-01-17,W,3,1,0,0,5,-0.2,2.05,0.95,3.4193548387096775,2.32258064516129,1.2549019607843137,1.0392156862745099
17,Dynamo Dresden,1.9,1.26,0.64,1.14,1.06,0.08,0.76,0.2,0.56,1.9,1.26,0.64,1,2,-1,-1.64,51.1,60.2,45.5,1.22,0.65,217,11,19,12,15.57,18.46,16.35,4,2,24,9,8,123.1,60.88,79.87,52.36,121.73,62.02,2,Holstein Kiel 2-1 Dynamo Dresden,2025-12-20,L,0,0,0,1,9.100000000000001,0.57,1.96,-1.96,1.5573770491803278,0.9344262295081966,1.9384615384615385,1.6307692307692307
18,Dynamo Dresden,2.15,3.37,-1.22,2.15,2.66,-0.51,0,0.71,-0.71,2.15,3.37,-1.22,2,3,-1,0.22,50.8,41.69,39.66,0.51,1.08,148,10,10,17,19.61,15.74,14.63,1,5,18,7,8,51,25.93,22.73,26.72,35.27,14.78,3,Dynamo Dresden 2-3 Eintracht Braunschweig,2025-12-12,L,0,0,0,1,-9.11,-0.5700000000000001,1,-1,4.215686274509804,4.215686274509804,3.1203703703703702,2.462962962962963
19,Dynamo Dresden,0.84,1.63,-0.79,0.84,1.15,-0.31,0,0.48,-0.48,0.84,1.63,-0.79,1,3,-2,-1.21,58.2,55.21,44.85,1.03,0.3,205,11,9,12,8.74,40,14.2,1,3,22,3,9,73.5,53.03,5.8,6.9,23.2,15.81,1,Kaiserslautern 3-1 Dynamo Dresden,2025-12-06,L,0,0,0,1,-2.990000000000002,0.73,0.8,-0.8,0.8155339805825242,0.8155339805825242,5.433333333333334,3.833333333333333
20,Dynamo Dresden,2.72,1.4,1.32,2.56,1.4,1.16,0.16,0,0.16,2.72,1.4,1.32,2,1,1,-0.32,42.4,43,46.39,0.31,1.12,158,5,18,14,58.06,12.5,13.06,5,1,21,4,12,61,33.78,83.73,77.48,98.43,61.38,2,Dynamo Dresden 2-1 Fortuna Düsseldorf,2025-11-30,W,3,1,0,0,0.6000000000000014,-0.81,2.2,0.8,8.774193548387098,8.258064516129032,1.2499999999999998,1.2499999999999998
21,Dynamo Dresden,1.18,3.35,-2.17,1.15,2.12,-0.97,0.02,0.47,-0.45,1.18,2.59,-1.41,2,1,1,3.17,43,32.01,43.08,0.17,1,141,9,10,23,58.82,23,27.21,2,6,20,8,10,46.8,18.95,61.73,52.94,45.27,25.35,1,Bochum 1-2 Dynamo Dresden,2025-11-21,W,3,1,0,0,-10.990000000000002,-0.83,0.5,2.5,6.941176470588235,6.76470588235294,3.35,2.12
22,Dynamo Dresden,0.85,1.02,-0.17,0.77,0.97,-0.2,0.08,0.05,0.03,0.85,1.02,-0.17,1,2,-1,-0.83,51.2,62.73,50.4,0.89,0.44,250,18,9,9,10.11,20.45,7.68,7,5,33,5,12,104,71.09,49,56.58,67.83,60.75,5,Dynamo Dresden 1-2 Nürnberg,2025-11-07,L,0,0,0,1,11.529999999999994,0.45,1.29,-1.29,0.9550561797752809,0.8651685393258427,2.3181818181818183,2.2045454545454546
23,Dynamo Dresden,1,1.57,-0.57,0.84,0.81,0.03,0.16,0,0.16,1,0.81,0.19,0,2,-2,-1.43,51.5,50,43.98,0.9,0.37,201,6,13,11,14.44,29.73,13,6,11,23,5,9,68.7,47.64,34.27,30.34,24.87,13.95,3,Hertha BSC 2-0 Dynamo Dresden,2025-11-01,L,0,0,0,1,-1.5,0.53,1,-1,1.1111111111111112,0.9333333333333332,4.243243243243244,2.1891891891891895
