,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Fortuna Düsseldorf,0.95,2.93,-1.98,0.94,2.86,-1.92,0.01,0.07,-0.06,0.95,2.93,-1.98,0,3,-3,-1.02,65.9,62.41,48.26,0.67,0.48,289,9,12,14,17.91,29.17,7.15,2,3,19,3,14,114.5,69.31,5.87,4.68,64.9,32.5,2,Greuther Fürth 3-0 Fortuna Düsseldorf,2026-05-17,L,0,0,0,1,-3.490000000000009,0.19000000000000006,0.45,-0.45,1.417910447761194,1.4029850746268655,6.104166666666667,5.958333333333333
1,Fortuna Düsseldorf,0.79,0.98,-0.19,0.57,0.83,-0.26,0.22,0.16,0.06,0.79,0.98,-0.19,3,1,2,2.19,43.4,34.19,43.2,0.68,1.05,139,5,10,17,14.71,16.19,13.88,3,4,11,2,6,58.1,26.89,53.87,55.27,34.23,21.8,1,Fortuna Düsseldorf 3-1 Elversberg,2026-05-10,W,3,1,0,0,-9.21,-0.37,1.25,1.75,1.1617647058823528,0.838235294117647,0.9333333333333332,0.7904761904761904
2,Fortuna Düsseldorf,0.57,1.95,-1.38,0.52,1.76,-1.24,0.04,0.19,-0.15,0.57,1.95,-1.38,0,1,-1,0.38,59.8,38.89,38.81,0.44,0.32,144,9,6,14,13.64,43.75,9.96,1,6,12,1,17,44.2,29.91,3.8,3.33,21.43,9.07,3,Schalke 04 1-0 Fortuna Düsseldorf,2026-05-02,L,0,0,0,1,-20.909999999999997,0.12,0.39,-0.39,1.2954545454545454,1.1818181818181819,6.09375,5.5
3,Fortuna Düsseldorf,1.38,1.6,-0.22,1.24,1.55,-0.31,0.13,0.05,0.08,1.38,1.6,-0.22,3,1,2,2.22,34,34.95,41.46,0.42,1,107,6,9,17,21.43,17,16.55,4,6,12,3,11,52.8,25.59,138.07,94.7,204.92,68.66,2,Fortuna Düsseldorf 3-1 Dynamo Dresden,2026-04-24,W,3,1,0,0,0.9500000000000028,-0.5800000000000001,1.33,1.67,3.2857142857142856,2.9523809523809526,1.6,1.55
4,Fortuna Düsseldorf,1.16,1.33,-0.17,1.02,1.33,-0.31,0.14,0,0.14,1.16,1.33,-0.17,0,2,-2,-1.83,55.5,64.79,54.05,1.09,0.59,311,13,11,11,10.09,18.64,12.07,6,4,24,6,13,191,77.33,54.07,48.25,128.77,59.15,2,Magdeburg 2-0 Fortuna Düsseldorf,2026-04-18,L,0,0,0,1,9.290000000000006,0.5000000000000001,1.34,-1.34,1.0642201834862384,0.9357798165137614,2.2542372881355934,2.2542372881355934
5,Fortuna Düsseldorf,1.47,1.27,0.2,0.98,1.11,-0.13,0.49,0.16,0.33,1.47,1.27,0.2,1,2,-1,-1.2,57.4,70.74,49.19,0.83,0.49,230,17,14,11,16.87,22.45,7.67,13,0,28,7,13,122.8,70.82,42.93,42.73,92.57,59.14,2,Fortuna Düsseldorf 1-2 Holstein Kiel,2026-04-10,L,0,0,0,1,13.339999999999996,0.33999999999999997,1.67,-1.67,1.7710843373493976,1.180722891566265,2.5918367346938775,2.2653061224489797
6,Fortuna Düsseldorf,0.76,3.06,-2.3,0.66,2.34,-1.68,0.1,0.72,-0.62,0.76,3.06,-2.3,0,3,-3,-0.7,36.2,34.26,44.58,0.56,1.44,151,6,9,23,16.07,15.97,17.68,7,4,16,6,6,20.1,9.87,114.8,98.06,49.73,26.52,0,Kaiserslautern 3-0 Fortuna Düsseldorf,2026-04-04,L,0,0,0,1,-1.9400000000000048,-0.8799999999999999,0.32,-0.32,1.357142857142857,1.1785714285714286,2.125,1.625
7,Fortuna Düsseldorf,1.18,1.9,-0.72,0.89,1.9,-1.01,0.29,0,0.29,1.18,1.9,-0.72,2,5,-3,-2.28,58.4,62.85,46.96,1.07,0.54,258,15,17,12,15.89,22.22,12.14,2,1,24,6,12,119.4,76.29,29.6,28.5,34.3,17.84,1,Fortuna Düsseldorf 2-5 Hertha BSC,2026-03-22,L,0,0,0,1,4.450000000000003,0.53,0.97,-0.97,1.102803738317757,0.8317757009345794,3.518518518518518,3.518518518518518
8,Fortuna Düsseldorf,0.49,2.03,-1.54,0.3,2.01,-1.71,0.2,0.02,0.18,0.49,2.03,-1.54,0,1,-1,0.54,50.1,46.62,40.73,0.48,0.6,142,16,9,16,18.75,26.67,14,5,10,18,5,14,52.5,31.9,49.33,45.45,39.97,24.52,0,Eintracht Braunschweig 1-0 Fortuna Düsseldorf,2026-03-14,L,0,0,0,1,-3.480000000000004,-0.12,0.3,-0.3,1.0208333333333333,0.625,3.3833333333333333,3.3499999999999996
9,Fortuna Düsseldorf,2.81,0.89,1.92,2.41,0.88,1.53,0.4,0.01,0.39,2.81,0.89,1.92,1,0,1,-0.92,47.9,50.19,44.41,0.73,0.47,167,12,17,9,23.29,19.15,16.92,4,4,19,5,9,134.4,65.47,61.27,71.91,163.03,79.55,0,Nürnberg 0-1 Fortuna Düsseldorf,2026-03-07,W,3,1,0,0,2.289999999999999,0.26,2.56,0.44,3.849315068493151,3.301369863013699,1.893617021276596,1.872340425531915
10,Fortuna Düsseldorf,2.27,1.22,1.05,1.82,1.07,0.75,0.45,0.16,0.29,2.27,1.22,1.05,2,1,1,-0.05,54.2,52.67,44.02,1.26,0.89,183,21,20,10,15.87,11.24,12.7,6,1,21,10,10,121.1,66.43,22.13,29.61,111.23,69.45,1,Fortuna Düsseldorf 2-1 Bochum,2026-02-27,W,3,1,0,0,-1.5300000000000011,0.37,2.17,0.83,1.8015873015873016,1.4444444444444444,1.3707865168539326,1.202247191011236
11,Fortuna Düsseldorf,1.95,2.11,-0.16,1.55,1.47,0.08,0.4,0.64,-0.24,1.95,2.11,-0.16,1,2,-1,-0.84,46.5,49.07,47.82,0.61,1.62,196,11,18,14,29.51,8.64,13.37,1,3,34,11,14,94.7,46.67,48.4,59.9,92.37,50.41,1,Darmstadt 98 2-1 Fortuna Düsseldorf,2026-02-21,L,0,0,0,1,2.5700000000000003,-1.0100000000000002,1.41,-1.41,3.19672131147541,2.540983606557377,1.302469135802469,0.9074074074074073
12,Fortuna Düsseldorf,1.75,0.58,1.17,1.69,0.56,1.13,0.07,0.02,0.05,1.75,0.58,1.17,0,0,0,-1.17,50.2,62.96,48.08,0.84,0.09,220,10,13,6,15.48,66.67,11.82,5,5,20,2,9,138.6,84.1,76.87,68.23,175.67,88.78,2,Fortuna Düsseldorf 0-0 Preußen Münster,2026-02-13,D,1,0,1,0,12.759999999999998,0.75,2.54,-1.54,2.0833333333333335,2.011904761904762,6.444444444444445,6.222222222222223
13,Fortuna Düsseldorf,2.45,0.37,2.08,2.37,0.37,2,0.08,0,0.08,2.45,0.37,2.08,1,1,0,-2.08,43.7,38.93,45.44,0.69,0.52,177,11,19,6,27.54,11.54,14.27,5,6,23,3,15,75.4,43.81,70.07,72.13,91.67,59.86,0,Karlsruher SC 1-1 Fortuna Düsseldorf,2026-02-08,D,1,0,1,0,-4.770000000000003,0.16999999999999993,2.84,-1.84,3.55072463768116,3.4347826086956528,0.7115384615384615,0.7115384615384615
14,Fortuna Düsseldorf,0.48,0.82,-0.34,0.44,0.59,-0.15,0.04,0.23,-0.19,0.48,0.82,-0.34,2,1,1,1.34,61.9,68.65,50.12,0.72,0.46,296,16,8,10,11.11,21.74,8.21,6,2,30,7,10,177.9,77.86,13.13,14.73,94.37,57.26,1,Fortuna Düsseldorf 2-1 Paderborn,2026-02-01,W,3,1,0,0,6.750000000000007,0.25999999999999995,0.92,2.08,0.6666666666666666,0.6111111111111112,1.7826086956521738,1.2826086956521738
15,Fortuna Düsseldorf,0.67,2.27,-1.6,0.64,1.36,-0.72,0.02,0.15,-0.13,0.67,1.51,-0.84,1,2,-1,0.6,47.9,46.76,43.19,0.75,1,169,10,7,10,9.33,10,11.42,8,3,18,2,10,52,32.77,67.07,53.71,46.07,25.8,1,Hannover 96 2-1 Fortuna Düsseldorf,2026-01-24,L,0,0,0,1,-1.1400000000000006,-0.25,0.4,-0.4,0.8933333333333334,0.8533333333333334,2.27,1.36
16,Fortuna Düsseldorf,1.89,0.62,1.27,1.77,0.62,1.15,0.13,0,0.13,1.89,0.62,1.27,1,0,1,-0.27,53.4,54.9,47.91,0.89,0.5,226,17,12,6,13.48,12,9.34,6,0,20,2,12,106.3,68.71,26.2,34,81.13,63.27,0,Fortuna Düsseldorf 1-0 Arminia Bielefeld,2026-01-16,W,3,1,0,0,1.5,0.39,2.54,0.46,2.1235955056179776,1.9887640449438202,1.24,1.24
17,Fortuna Düsseldorf,2.71,1.8,0.91,1.79,0.92,0.87,0.93,0.12,0.81,2.71,1.04,1.67,2,1,1,0.09,34.7,45.05,47.34,0.72,0.19,156,11,15,10,20.83,52.63,21.81,7,1,20,5,11,88.3,48.02,119.4,86.35,170.3,78.96,1,Fortuna Düsseldorf 2-1 Greuther Fürth,2025-12-20,W,3,1,0,0,10.349999999999994,0.53,1.96,1.04,3.763888888888889,2.486111111111111,9.473684210526315,4.842105263157895
18,Fortuna Düsseldorf,2.05,1.53,0.52,1.53,1.53,0,0.52,0,0.52,2.05,1.53,0.52,0,1,-1,-1.52,43.4,47.6,46.17,1.11,0.5,144,18,17,15,15.32,30,9.21,2,4,18,6,20,88.2,53.52,73.47,73.62,105.9,67.9,1,Elversberg 1-0 Fortuna Düsseldorf,2025-12-14,L,0,0,0,1,4.200000000000003,0.6100000000000001,1.83,-1.83,1.8468468468468466,1.3783783783783783,3.06,3.06
19,Fortuna Düsseldorf,1.43,2.46,-1.03,1.43,1.52,-0.09,0,0.18,-0.18,1.43,1.7,-0.27,0,2,-2,-0.97,54.2,49.23,43.97,0.58,0.68,156,11,14,13,24.14,19.12,9.87,4,5,19,1,15,81.8,56.14,25.73,28.05,66.37,39.2,0,Fortuna Düsseldorf 0-2 Schalke 04,2025-12-05,L,0,0,0,1,-4.970000000000006,-0.10000000000000009,0.91,-0.91,2.4655172413793105,2.4655172413793105,3.617647058823529,2.235294117647059
20,Fortuna Düsseldorf,1.4,2.72,-1.32,1.4,2.56,-1.16,0,0.16,-0.16,1.4,2.72,-1.32,1,2,-1,0.32,57.6,57,49.38,1.12,0.31,268,15,14,18,12.5,58.06,8.97,1,5,24,0,13,119.6,66.22,24.33,22.52,61.93,38.62,1,Dynamo Dresden 2-1 Fortuna Düsseldorf,2025-11-30,L,0,0,0,1,-0.6000000000000014,0.81,0.8,-0.8,1.2499999999999998,1.2499999999999998,8.774193548387098,8.258064516129032
21,Fortuna Düsseldorf,2.56,1.86,0.7,2.5,1.8,0.7,0.06,0.06,0,2.56,1.86,0.7,2,1,1,0.3,37.1,38.39,45.64,0.48,0.76,134,6,11,26,22.92,34.21,13.93,3,5,12,3,17,47.3,22,77.33,87.35,90.83,42.54,0,Fortuna Düsseldorf 2-1 Magdeburg,2025-11-22,W,3,1,0,0,1.2899999999999991,-0.28,1.86,1.14,5.333333333333334,5.208333333333334,2.447368421052632,2.3684210526315788
22,Fortuna Düsseldorf,1.3,1.17,0.13,1.13,1.14,-0.01,0.16,0.03,0.13,1.3,1.17,0.13,0,1,-1,-1.13,55.5,67.77,51.1,1.35,0.55,247,18,17,13,12.59,23.64,9,9,6,33,5,16,167.4,80.48,53.47,50.57,177.47,76.52,3,Holstein Kiel 1-0 Fortuna Düsseldorf,2025-11-09,L,0,0,0,1,12.269999999999996,0.8,1.62,-1.62,0.9629629629629629,0.8370370370370369,2.127272727272727,2.0727272727272723
23,Fortuna Düsseldorf,1.02,1.35,-0.33,1.02,1.06,-0.04,0,0.29,-0.29,1.02,1.35,-0.33,1,1,0,0.33,46.9,54.55,53.66,1.03,0.64,218,16,11,16,10.68,25,13.62,1,3,27,2,14,133.9,62.69,56.07,73.13,143.73,69.84,0,Fortuna Düsseldorf 1-1 Kaiserslautern,2025-11-02,D,1,0,1,0,7.649999999999999,0.39,1.18,-0.18,0.9902912621359223,0.9902912621359223,2.109375,1.65625
