,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Elversberg,3.1,0.32,2.78,2.5,0.32,2.18,0.59,0,0.59,3.1,0.32,2.78,3,0,3,0.22,62.9,69.23,46.7,1.72,0.26,227,18,11,5,6.4,19.23,8.53,7,4,15,6,8,166,86.55,24.67,17.75,242.02,88.12,1,Elversberg 3-0 Preußen Münster,2026-05-17,W,3,1,0,0,6.330000000000005,1.46,2.91,0.09,1.802325581395349,1.4534883720930232,1.2307692307692308,1.2307692307692308
1,Elversberg,0.98,0.79,0.19,0.83,0.57,0.26,0.16,0.22,-0.06,0.98,0.79,0.19,1,3,-2,-2.19,56.6,65.81,49.47,1.05,0.68,243,13,17,10,16.19,14.71,12.64,4,3,16,5,7,158,73.11,43.6,44.73,122.77,78.2,1,Fortuna Düsseldorf 3-1 Elversberg,2026-05-10,L,0,0,0,1,9.21,0.37,1.75,-1.75,0.9333333333333332,0.7904761904761904,1.1617647058823528,0.838235294117647
2,Elversberg,2.72,2.09,0.63,2.32,2.05,0.27,0.4,0.04,0.36,2.72,2.09,0.63,5,1,4,3.37,42.5,34.94,39.72,0.85,0.71,115,7,8,11,9.41,15.49,16.65,5,10,4,2,11,47.7,29.83,68.8,67.94,134.34,63.58,3,Elversberg 5-1 Paderborn,2026-05-03,W,3,1,0,0,-7.560000000000002,0.14,1.8,1.2,3.2,2.7294117647058824,2.943661971830986,2.8873239436619715
3,Elversberg,1.66,1.74,-0.08,1.24,1.45,-0.21,0.42,0.29,0.13,1.66,1.74,-0.08,3,3,0,0.08,52.6,64.08,51.47,0.84,0.61,223,13,17,13,20.24,21.31,10.63,4,6,17,7,19,147.8,74.65,52.27,55.8,139.27,78.51,0,Darmstadt 98 3-3 Elversberg,2026-04-25,D,1,0,1,0,11.479999999999997,0.22999999999999998,1.45,-0.45,1.9761904761904763,1.4761904761904763,2.8524590163934427,2.377049180327869
4,Elversberg,2.82,0.75,2.07,2.79,0.75,2.04,0.03,0,0.03,2.82,0.75,2.07,3,0,3,0.93,35.9,41.67,46.9,0.66,0.73,180,20,15,10,22.73,13.7,26.67,3,4,10,2,8,127.2,43.13,144,92.74,283.58,76.45,2,Elversberg 3-0 Karlsruher SC,2026-04-17,W,3,1,0,0,5.770000000000003,-0.06999999999999995,2.65,0.35,4.2727272727272725,4.2272727272727275,1.0273972602739727,1.0273972602739727
5,Elversberg,0.76,2.17,-1.41,0.68,1.92,-1.24,0.08,0.25,-0.17,0.76,2.17,-1.41,1,2,-1,0.41,58,54.15,46.18,0.98,0.96,205,19,11,9,11.22,9.38,9.72,2,2,22,8,13,151.4,64.48,13.13,15.39,58.03,40.15,2,Elversberg 1-2 Schalke 04,2026-04-12,L,0,0,0,1,-3.8500000000000014,0.020000000000000018,0.5,-0.5,0.7755102040816326,0.6938775510204083,2.2604166666666665,2
6,Elversberg,1.01,1.14,-0.13,0.2,0.92,-0.72,0.05,0.22,-0.17,0.25,1.14,-0.89,1,1,0,0.13,39.3,44.1,43.45,0.35,1.05,145,7,12,12,34.29,11.43,13.23,6,6,12,4,11,63.7,37.85,124.53,84.26,159.83,72.26,0,Hannover 96 1-1 Elversberg,2026-04-05,D,1,0,1,0,4.800000000000004,-0.7000000000000001,1.36,-0.36,2.885714285714286,0.5714285714285715,1.0857142857142856,0.8761904761904762
7,Elversberg,3.32,0.61,2.71,2.77,0.57,2.2,0.54,0.04,0.5,3.32,0.61,2.71,3,1,2,-0.71,58,70.59,50.89,1.79,0.41,266,32,28,4,15.64,9.76,14.73,5,4,29,9,7,234.4,93.76,74.4,50.66,346.34,95.07,0,Elversberg 3-1 Arminia Bielefeld,2026-03-21,W,3,1,0,0,12.590000000000003,1.3800000000000001,2.79,0.21,1.8547486033519551,1.547486033519553,1.4878048780487805,1.3902439024390243
8,Elversberg,1.73,0.74,0.99,0.96,0.74,0.22,0.01,0,0.01,0.97,0.74,0.23,0,2,-2,-2.99,56.5,54.87,50.24,1.21,0.39,220,17,13,8,10.74,20.51,10.38,2,2,23,6,12,120.4,65.4,33.8,34.61,101.3,49.93,2,Greuther Fürth 2-0 Elversberg,2026-03-13,L,0,0,0,1,-1.6300000000000026,0.82,2.36,-2.36,1.4297520661157026,0.7933884297520661,1.8974358974358974,1.8974358974358974
9,Elversberg,1.65,1.09,0.56,1.07,1.09,-0.02,0.58,0,0.58,1.65,1.09,0.56,1,0,1,0.44,49.3,61.01,53.35,1.04,0.62,256,15,15,14,14.42,22.58,11.24,13,5,28,11,4,157,71.49,101.53,90.33,211.13,89.2,3,Elversberg 1-0 Magdeburg,2026-03-06,W,3,1,0,0,11.71,0.42000000000000004,1.96,1.04,1.5865384615384615,1.028846153846154,1.7580645161290325,1.7580645161290325
10,Elversberg,1.23,1.21,0.02,1.19,1.02,0.17,0.04,0.19,-0.15,1.23,1.21,0.02,1,1,0,-0.02,48.1,58.56,48.85,0.62,0.46,200,10,7,10,11.29,21.74,9.28,2,8,22,7,16,103.3,63.1,64.73,73.28,135.2,72.54,2,Holstein Kiel 1-1 Elversberg,2026-02-28,D,1,0,1,0,10.46,0.15999999999999998,1.52,-0.52,1.9838709677419355,1.9193548387096773,2.6304347826086953,2.217391304347826
11,Elversberg,2.52,0.82,1.7,1.64,0.82,0.82,0.12,0,0.12,1.76,0.82,0.94,3,1,2,0.3,58.5,51.35,43.28,0.94,0.18,194,22,12,7,12.77,38.89,11.88,1,4,10,4,7,115,69.7,19.4,18.35,136.77,68.11,1,Elversberg 3-1 Eintracht Braunschweig,2026-02-21,W,3,1,0,0,-7.149999999999999,0.76,2.55,0.45,2.6808510638297873,1.7446808510638299,4.555555555555555,4.555555555555555
12,Elversberg,1.25,0.63,0.62,1.11,0.34,0.77,0.13,0.3,-0.17,1.25,0.63,0.62,2,1,1,0.38,55.8,54.89,47.43,0.62,0.51,253,18,12,14,19.35,27.45,8.86,4,8,23,6,13,139.2,61.11,40.47,29.47,103.17,47.62,1,Dynamo Dresden 1-2 Elversberg,2026-02-14,W,3,1,0,0,-0.9099999999999966,0.10999999999999999,2.22,0.78,2.0161290322580645,1.7903225806451615,1.2352941176470589,0.6666666666666667
13,Elversberg,2.47,1.88,0.59,2.34,1.36,0.98,0.13,0.53,-0.4,2.47,1.88,0.59,0,3,-3,-3.59,59.2,63.4,50.31,0.81,0.11,240,24,20,6,24.69,54.55,9.79,4,2,20,7,9,195.8,82.27,40.4,39.12,112.93,67.85,0,Elversberg 0-3 Hertha BSC,2026-02-07,L,0,0,0,1,4.199999999999996,0.7000000000000001,1.81,-1.81,3.049382716049383,2.8888888888888884,17.09090909090909,12.363636363636365
14,Elversberg,3.71,0.49,3.22,2.93,0.45,2.48,0.02,0.04,-0.02,2.95,0.49,2.46,3,1,2,-1.22,62.7,64.66,52.39,1.44,0.84,307,24,18,6,12.5,7.14,8,7,4,14,2,15,211.9,85.82,17.4,15.82,173.2,90.82,2,Kaiserslautern 1-3 Elversberg,2026-01-31,W,3,1,0,0,1.9599999999999937,0.6,2.87,0.13,2.576388888888889,2.0347222222222223,0.5833333333333334,0.5357142857142857
15,Elversberg,2.17,0.59,1.58,1.25,0.59,0.66,0.92,0,0.92,2.17,0.59,1.58,1,1,0,-1.58,63.4,71.68,54.23,0.95,0.19,348,23,22,7,23.16,36.84,11.04,4,3,33,9,9,261.7,86.63,31.13,28.32,192.1,79.36,2,Elversberg 1-1 Bochum,2026-01-25,D,1,0,1,0,8.280000000000008,0.76,2.64,-1.64,2.2842105263157895,1.3157894736842106,3.1052631578947367,3.1052631578947367
16,Elversberg,2.73,3.13,-0.4,1.91,2.62,-0.71,0.06,0.51,-0.45,1.97,3.13,-1.16,2,3,-1,-0.6,49.9,41.02,41.45,0.57,0.93,136,11,13,27,22.81,29.03,8.45,12,7,12,3,13,66.5,28.99,20.13,27.8,51.03,23.11,1,Nürnberg 3-2 Elversberg,2026-01-17,L,0,0,0,1,-8.879999999999995,-0.3600000000000001,1.34,-1.34,4.7894736842105265,3.3508771929824563,3.365591397849462,2.817204301075269
17,Elversberg,1.42,2.89,-1.47,0.6,1.47,-0.87,0.06,0.66,-0.6,0.66,2.13,-1.47,1,1,0,1.47,41,47.93,46.21,0.44,1.08,176,12,10,19,22.73,17.59,11.9,4,7,19,6,11,76.4,46.7,95.4,85.18,163.27,69.88,1,Preußen Münster 1-1 Elversberg,2025-12-21,D,1,0,1,0,6.93,-0.6400000000000001,0.75,0.25,3.227272727272727,1.3636363636363635,2.675925925925926,1.361111111111111
18,Elversberg,1.53,2.05,-0.52,1.53,1.53,0,0,0.52,-0.52,1.53,2.05,-0.52,1,0,1,1.52,56.6,52.4,44.64,0.5,1.11,185,14,15,17,30,15.32,6.7,4,2,16,8,7,76.6,46.48,26.33,26.38,50.07,32.1,4,Elversberg 1-0 Fortuna Düsseldorf,2025-12-14,W,3,1,0,0,-4.200000000000003,-0.6100000000000001,1.17,1.83,3.06,3.06,1.8468468468468466,1.3783783783783783
19,Elversberg,1.18,0.71,0.47,0.91,0.68,0.23,0.27,0.03,0.24,1.18,0.71,0.47,2,1,1,0.53,50.9,54.6,46.9,0.82,0.73,214,16,16,9,19.51,12.33,10.11,8,5,22,10,5,146.4,66.33,65.07,55.39,142.07,78.29,0,Paderborn 1-2 Elversberg,2025-12-06,W,3,1,0,0,3.700000000000003,0.08999999999999997,2.06,0.94,1.4390243902439024,1.1097560975609757,0.9726027397260274,0.9315068493150686
20,Elversberg,1.54,0.79,0.75,1.28,0.43,0.85,0.26,0.36,-0.1,1.54,0.79,0.75,0,0,0,-0.75,46.7,43.48,44.14,1.14,0.46,178,15,14,11,12.28,23.91,14.61,7,7,17,6,8,63.6,42.54,60.93,66.28,86.1,52.32,2,Elversberg 0-0 Darmstadt 98,2025-11-30,D,1,0,1,0,-3.220000000000006,0.6799999999999999,2.21,-1.21,1.3508771929824563,1.1228070175438598,1.7173913043478262,0.9347826086956521
21,Elversberg,3.38,1.07,2.31,2.75,0.69,2.06,0.63,0.38,0.25,3.38,1.07,2.31,3,2,1,-1.31,47.7,56.25,48.17,1.09,0.9,209,23,26,11,23.85,12.22,10.97,6,6,22,9,13,165.7,71.51,86.2,73.63,207.9,88.44,5,Karlsruher SC 2-3 Elversberg,2025-11-23,W,3,1,0,0,8.549999999999997,0.19000000000000006,2.56,0.44,3.10091743119266,2.5229357798165135,1.1888888888888889,0.7666666666666666
22,Elversberg,0.29,0.83,-0.54,0.27,0.83,-0.56,0.02,0,0.02,0.29,0.83,-0.54,0,1,-1,-0.46,67.4,54.61,42.43,0.26,1.01,196,5,6,7,23.08,6.93,6.17,3,4,15,5,12,71.7,54.2,2.47,1.45,24.3,10.62,2,Schalke 04 1-0 Elversberg,2025-11-08,L,0,0,0,1,-12.790000000000006,-0.75,0.5,-0.5,1.1153846153846152,1.0384615384615385,0.8217821782178217,0.8217821782178217
23,Elversberg,1.59,1.37,0.22,0.75,1.2,-0.45,0.08,0.17,-0.09,0.83,1.37,-0.54,2,2,0,-0.22,47,47.71,43.14,0.54,0.57,162,12,13,11,24.07,19.3,10.7,5,1,14,5,13,59.9,37.53,73.93,72.15,145.57,69.36,1,Elversberg 2-2 Hannover 96,2025-10-31,D,1,0,1,0,0.7100000000000009,-0.029999999999999916,1.67,-0.67,2.944444444444444,1.3888888888888888,2.403508771929825,2.1052631578947367
24,Elversberg,1.37,1.55,-0.18,1.27,1.32,-0.05,0.09,0.24,-0.15,1.37,1.55,-0.18,0,2,-2,-1.82,68.4,66.17,51.82,0.87,0.19,350,18,16,11,18.39,57.89,8.5,5,8,27,6,12,180,74.66,3.93,4,130.43,55.68,2,Arminia Bielefeld 2-0 Elversberg,2025-10-25,L,0,0,0,1,-2.230000000000004,0.6799999999999999,1.36,-1.36,1.574712643678161,1.4597701149425288,8.157894736842106,6.947368421052632
25,Elversberg,4.09,1.7,2.39,3.41,1.54,1.87,0.67,0.16,0.51,4.09,1.7,2.39,6,0,6,3.61,45.3,47.28,46.68,2.02,0.65,176,19,18,10,8.91,15.38,10.81,6,4,22,6,10,125.5,59.03,34.8,46.07,189.37,74.05,1,Elversberg 6-0 Greuther Fürth,2025-10-19,W,3,1,0,0,1.980000000000004,1.37,2.38,0.62,2.0247524752475248,1.688118811881188,2.6153846153846154,2.3692307692307693
26,Elversberg,3.38,1.11,2.27,2.27,0.97,1.3,1.11,0.14,0.97,3.38,1.11,2.27,4,0,4,1.73,44.5,40.73,47.43,1.03,0.53,175,20,20,15,19.42,28.3,19.11,1,9,22,13,6,123.3,50.93,58.4,75.72,191.57,82.98,1,Magdeburg 0-4 Elversberg,2025-10-05,W,3,1,0,0,-3.770000000000003,0.5,2.54,0.46,3.2815533980582523,2.203883495145631,2.0943396226415096,1.8301886792452828
27,Elversberg,2.78,0.84,1.94,1.48,0.56,0.92,0.54,0.28,0.26,2.02,0.84,1.18,1,0,1,-0.94,59,66.9,47.11,1.04,0.38,251,15,19,12,18.27,31.58,9.14,4,3,26,9,11,154.5,84.06,23.13,29.18,136.37,75.53,1,Elversberg 1-0 Holstein Kiel,2025-09-27,W,3,1,0,0,7.900000000000006,0.66,2.59,0.41,2.673076923076923,1.423076923076923,2.2105263157894735,1.473684210526316
28,Elversberg,3.22,1.16,2.06,2.89,0.95,1.94,0.33,0.21,0.12,3.22,1.16,2.06,4,1,3,0.94,58.3,51.49,41.06,0.59,0.45,166,18,22,10,37.29,22.22,8.68,4,5,14,9,15,132.2,65.64,24.4,19.46,116.23,55.78,2,Eintracht Braunschweig 1-4 Elversberg,2025-09-20,W,3,1,0,0,-6.809999999999995,0.13999999999999996,2.48,0.52,5.457627118644068,4.898305084745763,2.5777777777777775,2.111111111111111
29,Elversberg,2.67,2.18,0.49,2.49,2.12,0.37,0.18,0.06,0.12,2.67,2.18,0.49,2,2,0,-0.49,63.7,65.75,49.31,1.07,0.64,270,29,22,11,20.56,17.19,9.12,4,7,31,7,8,236.5,82,21.73,22.22,152.27,67.39,4,Elversberg 2-2 Dynamo Dresden,2025-09-14,D,1,0,1,0,2.049999999999997,0.43000000000000005,1.73,-0.73,2.495327102803738,2.3271028037383177,3.40625,3.3125
30,Elversberg,1.64,0.62,1.02,1.6,0.47,1.13,0.04,0.15,-0.11,1.64,0.62,1.02,2,0,2,0.98,57,62.25,46.69,0.67,0.5,231,22,16,7,23.88,14,13.33,4,5,11,4,7,126.7,85.26,43.13,38.65,136.2,82.88,0,Hertha BSC 0-2 Elversberg,2025-08-29,W,3,1,0,0,5.25,0.17000000000000004,2.45,0.55,2.4477611940298503,2.388059701492537,1.24,0.94
31,Elversberg,2.34,1.69,0.65,1.28,0.76,0.52,1.06,0.18,0.88,2.34,0.93,1.41,2,1,1,0.35,56.8,52.19,43.7,0.8,0.43,181,15,11,11,13.75,25.58,7.46,4,7,12,4,22,126.3,61.76,24.27,21.45,132.23,51.06,2,Elversberg 2-1 Kaiserslautern,2025-08-22,W,3,1,0,0,-4.609999999999999,0.37000000000000005,1.87,1.13,2.925,1.5999999999999999,3.9302325581395348,1.7674418604651163
32,Elversberg,0.4,3.7,-3.3,0.4,1.92,-1.52,0,1.77,-1.77,0.4,3.7,-3.3,0,2,-2,1.3,43,31.06,40.91,0.3,0.82,104,8,3,16,10,19.51,12.11,3,9,5,0,11,12.2,7.62,57,58.2,19.63,11.69,5,Bochum 2-0 Elversberg,2025-08-10,L,0,0,0,1,-11.940000000000001,-0.52,0.1,-0.1,1.3333333333333335,1.3333333333333335,4.51219512195122,2.341463414634146
33,Elversberg,1.42,2.14,-0.72,1.17,1.03,0.14,0.26,1.11,-0.85,1.42,2.14,-0.72,1,0,1,1.72,54.6,54.31,44.29,0.4,0.64,185,8,12,12,30,18.75,8.16,2,5,15,2,16,78.1,62.18,26.8,27.76,74.67,46.77,1,Elversberg 1-0 Nürnberg,2025-08-02,W,3,1,0,0,-0.28999999999999915,-0.24,1.04,1.96,3.55,2.925,3.34375,1.609375
