,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Greuther Fürth,2.93,0.95,1.98,2.86,0.94,1.92,0.07,0.01,0.06,2.93,0.95,1.98,3,0,3,1.02,34.1,37.59,45.35,0.48,0.67,116,7,14,12,29.17,17.91,16.68,3,2,8,2,8,50.7,30.69,119.67,95.32,134.8,67.5,2,Greuther Fürth 3-0 Fortuna Düsseldorf,2026-05-17,W,3,1,0,0,3.490000000000002,-0.19000000000000006,2.55,0.45,6.104166666666667,5.958333333333333,1.417910447761194,1.4029850746268655
1,Greuther Fürth,1.83,0.69,1.14,1.55,0.69,0.86,0.28,0,0.28,1.83,0.69,1.14,1,2,-1,-2.14,65.2,74.2,53.54,1.3,0.21,342,31,29,8,22.31,38.1,14.67,3,2,36,18,7,278.5,91.97,28.53,25.32,208.77,91.29,2,Hertha BSC 2-1 Greuther Fürth,2026-05-10,L,0,0,0,1,9,1.09,2.45,-2.45,1.4076923076923078,1.1923076923076923,3.2857142857142856,3.2857142857142856
2,Greuther Fürth,1.82,2.11,-0.29,0.81,1.46,-0.65,1.01,0.65,0.36,1.82,2.11,-0.29,1,1,0,0.29,42.1,42.52,45.43,0.45,0.8,140,12,13,20,28.89,25,9.88,6,6,14,4,9,71,29.91,66.6,74.44,109.4,42.08,3,Greuther Fürth 1-1 Nürnberg,2026-05-03,D,1,0,1,0,0.4200000000000017,-0.35000000000000003,1.33,-0.33,4.044444444444444,1.8,2.6374999999999997,1.825
3,Greuther Fürth,1.73,1.8,-0.07,1.69,1.49,0.2,0.04,0.3,-0.26,1.73,1.8,-0.07,1,2,-1,-0.93,64.2,48.81,45.55,0.76,0.82,248,15,14,17,18.42,20.73,10,2,5,17,5,9,66.5,48.29,1.8,1.41,14.03,6.31,0,Bochum 2-1 Greuther Fürth,2026-04-26,L,0,0,0,1,-15.39,-0.05999999999999994,1.45,-1.45,2.276315789473684,2.2236842105263155,2.1951219512195124,1.8170731707317074
4,Greuther Fürth,3.87,1.92,1.95,2.82,1.66,1.16,0.29,0.25,0.04,3.11,1.92,1.19,3,2,1,-0.95,44,47.11,50.1,1.24,0.4,223,22,20,12,16.13,30,17.5,4,3,23,5,11,129.7,60.49,108.27,85.88,169.77,79.12,3,Greuther Fürth 3-2 Darmstadt 98,2026-04-19,W,3,1,0,0,3.1099999999999994,0.84,2.24,0.76,3.120967741935484,2.2741935483870965,4.8,4.1499999999999995
5,Greuther Fürth,0.18,1.49,-1.31,0.17,1.28,-1.11,0.02,0.21,-0.19,0.18,1.49,-1.31,0,0,0,1.31,67.9,69.59,50.92,0.7,0.8,375,8,6,12,8.57,15,7.58,7,4,14,4,14,142.8,77.52,10.27,6.54,54.5,37.79,2,Preußen Münster 0-0 Greuther Fürth,2026-04-11,D,1,0,1,0,1.6899999999999977,-0.10000000000000009,0.11,0.89,0.2571428571428572,0.24285714285714288,1.8624999999999998,1.5999999999999999
6,Greuther Fürth,0.67,1.59,-0.92,0.67,1.57,-0.9,0,0.02,-0.02,0.67,1.59,-0.92,0,2,-2,-1.08,56.6,51.65,46.87,1.07,0.87,225,18,16,15,14.95,17.24,13.39,3,5,16,3,10,139.6,55.07,48.8,42.88,111.23,45.5,1,Greuther Fürth 0-2 Paderborn,2026-04-05,L,0,0,0,1,-4.950000000000003,0.20000000000000007,0.63,-0.63,0.6261682242990654,0.6261682242990654,1.8275862068965518,1.8045977011494254
7,Greuther Fürth,1.64,2.24,-0.6,1.42,1.77,-0.35,0.22,0.47,-0.25,1.64,2.24,-0.6,1,3,-2,-1.4,50.3,43.96,42.95,0.28,1.32,165,7,10,12,35.71,9.09,10.03,4,2,15,4,6,65.4,32.88,39.93,42.21,72.33,35.97,0,Karlsruher SC 3-1 Greuther Fürth,2026-03-20,L,0,0,0,1,-6.339999999999996,-1.04,1.15,-1.15,5.857142857142856,5.07142857142857,1.696969696969697,1.3409090909090908
8,Greuther Fürth,0.74,1.73,-0.99,0.74,0.96,-0.22,0,0.01,-0.01,0.74,0.97,-0.23,2,0,2,2.99,43.5,45.13,44.9,0.39,1.21,131,6,8,13,20.51,10.74,11.45,2,2,11,2,13,63.7,34.6,63.87,65.39,101.57,50.07,5,Greuther Fürth 2-0 Elversberg,2026-03-13,W,3,1,0,0,1.6300000000000026,-0.82,0.64,2.36,1.8974358974358974,1.8974358974358974,1.4297520661157026,0.7933884297520661
9,Greuther Fürth,1.33,2.05,-0.72,1.13,0.51,0.62,0.2,0.78,-0.58,1.33,1.29,0.04,2,1,1,1.72,39.2,28.47,41.8,0.17,1.19,114,5,14,24,82.35,20.17,18.78,3,5,6,5,9,27.4,12.78,75.73,77.91,53.87,31.13,1,Hannover 96 1-2 Greuther Fürth,2026-03-08,W,3,1,0,0,-10.730000000000004,-1.02,1.02,1.98,7.823529411764706,6.64705882352941,1.722689075630252,0.4285714285714286
10,Greuther Fürth,1.15,1.66,-0.51,0.86,1.18,-0.32,0.29,0.48,-0.19,1.15,1.66,-0.51,1,1,0,0.51,39.2,29.29,37.76,0.3,0.98,81,6,6,16,20,16.33,24.67,1,8,13,4,7,25.9,15.95,58.53,73.97,43.57,30.09,1,Greuther Fürth 1-1 Schalke 04,2026-02-28,D,1,0,1,0,-9.910000000000004,-0.6799999999999999,1.09,-0.09,3.833333333333333,2.8666666666666667,1.693877551020408,1.2040816326530612
11,Greuther Fürth,1.39,1.12,0.27,1.39,0.57,0.82,0,0.55,-0.55,1.39,1.12,0.27,2,1,1,0.73,44,34.64,41.77,0.24,0.81,139,4,5,15,20.83,18.52,9.05,2,3,10,0,11,27.7,16.65,36.73,41.15,28.3,16.13,1,Greuther Fürth 2-1 Arminia Bielefeld,2026-02-20,W,3,1,0,0,-9.36,-0.5700000000000001,1.75,1.25,5.791666666666666,5.791666666666666,1.3827160493827162,0.7037037037037036
12,Greuther Fürth,0.85,1.79,-0.94,0.67,1.77,-1.1,0.18,0.01,0.17,0.85,1.79,-0.94,0,1,-1,-0.06,62.9,51.95,46.05,0.47,0.48,269,10,14,13,29.79,27.08,6.26,5,5,15,6,14,89.4,49.92,3.87,2.97,44.5,17.73,1,Kaiserslautern 1-0 Greuther Fürth,2026-02-14,L,0,0,0,1,-10.949999999999996,-0.010000000000000009,0.72,-0.72,1.8085106382978724,1.4255319148936172,3.729166666666667,3.6875
13,Greuther Fürth,2.17,2.15,0.02,0.61,2.12,-1.51,1.56,0.03,1.53,2.17,2.15,0.02,4,5,-1,-1.02,56.1,56.99,48.32,0.47,0.92,241,11,14,14,29.79,15.22,8.31,5,1,23,10,13,77.1,61.63,26.93,33.06,74.47,50.29,2,Greuther Fürth 4-5 Magdeburg,2026-02-06,L,0,0,0,1,0.8900000000000006,-0.45000000000000007,1.51,-1.51,4.617021276595745,1.297872340425532,2.3369565217391304,2.3043478260869565
