,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Hannover 96,3.54,3.09,0.45,2.38,2.71,-0.33,1.16,0.37,0.79,3.54,3.09,0.45,3,3,0,-0.45,46.4,52.97,48.45,1.48,0.69,208,25,24,18,16.22,26.09,15.79,5,6,16,8,4,153,58.71,66.47,61.58,142.03,59.09,3,Hannover 96 3-3 Nürnberg,2026-05-17,D,1,0,1,0,6.57,0.79,1.66,-0.66,2.391891891891892,1.6081081081081081,4.478260869565218,3.927536231884058
1,Hannover 96,1.05,1.53,-0.48,0.78,1.13,-0.35,0.27,0.4,-0.13,1.05,1.53,-0.48,1,1,0,0.48,58.5,62.95,46.55,1.1,0.21,264,11,10,10,9.09,47.62,9.91,10,3,8,4,10,98.3,65.49,30.8,18.9,58.17,34.69,0,Bochum 1-1 Hannover 96,2026-05-09,D,1,0,1,0,4.450000000000003,0.8900000000000001,1.08,-0.08,0.9545454545454545,0.7090909090909091,7.2857142857142865,5.3809523809523805
2,Hannover 96,2.81,2.39,0.42,2.76,2.16,0.6,0.05,0.23,-0.18,2.81,2.39,0.42,3,3,0,-0.42,68.8,64.91,52.64,1.38,1.06,336,26,19,16,13.77,15.09,5.72,3,5,29,10,11,212.3,78.95,5.73,4.3,104.37,51.09,0,Hannover 96 3-3 Preußen Münster,2026-05-03,D,1,0,1,0,-3.8900000000000006,0.31999999999999984,1.69,-0.69,2.036231884057971,2,2.2547169811320753,2.0377358490566038
3,Hannover 96,1.25,0.8,0.45,0.49,0.72,-0.23,0,0.07,-0.07,0.49,0.8,-0.31,3,1,2,1.55,50.1,41.67,42.08,0.13,0.86,203,4,10,8,76.92,9.3,16.44,1,6,10,2,3,73.7,35.9,74.33,42.27,60,35.69,0,Karlsruher SC 1-3 Hannover 96,2026-04-25,W,3,1,0,0,-8.43,-0.73,1.99,1.01,9.615384615384615,3.769230769230769,0.930232558139535,0.8372093023255813
4,Hannover 96,0.71,2.03,-1.32,0.55,1.11,-0.56,0.17,0.91,-0.74,0.71,2.03,-1.32,1,1,0,1.32,65.1,59.73,45.88,0.63,0.7,289,9,5,16,7.94,22.86,8.79,4,8,16,5,12,110.2,56.72,14.07,8.19,48.8,21.06,3,Hannover 96 1-1 Paderborn,2026-04-18,D,1,0,1,0,-5.369999999999997,-0.06999999999999995,0.5,0.5,1.126984126984127,0.8730158730158731,2.9,1.5857142857142859
5,Hannover 96,1.85,1.37,0.48,1.85,1.31,0.54,0,0.06,-0.06,1.85,1.37,0.48,2,0,2,1.52,42.8,46.71,46.71,0.74,0.96,191,13,11,16,14.86,16.67,15.37,2,4,10,6,11,103.7,44.54,91.07,74.73,148.6,77.71,2,Darmstadt 98 0-2 Hannover 96,2026-04-11,W,3,1,0,0,3.9100000000000037,-0.21999999999999997,1.84,1.16,2.5,2.5,1.4270833333333335,1.3645833333333335
6,Hannover 96,1.14,1.01,0.13,0.92,0.2,0.72,0.22,0.05,0.17,1.14,0.25,0.89,1,1,0,-0.13,60.7,55.9,43.18,1.05,0.35,208,22,12,12,11.43,34.29,8.64,6,6,17,10,13,104.6,62.15,23.27,15.74,61.37,27.74,0,Hannover 96 1-1 Elversberg,2026-04-05,D,1,0,1,0,-4.800000000000004,0.7000000000000001,1.64,-0.64,1.0857142857142856,0.8761904761904762,2.885714285714286,0.5714285714285715
7,Hannover 96,0.77,1.83,-1.06,0.57,1.66,-1.09,0.2,0.18,0.02,0.77,1.83,-1.06,1,0,1,2.06,50,43.85,36.63,0.59,0.69,134,12,10,16,16.95,23.19,10.32,9,2,19,10,13,63.1,34.48,30.87,26.58,76.57,31.53,2,Hannover 96 1-0 Eintracht Braunschweig,2026-03-20,W,3,1,0,0,-6.149999999999999,-0.09999999999999998,0.63,2.37,1.305084745762712,0.9661016949152542,2.6521739130434785,2.4057971014492754
8,Hannover 96,2.39,0.79,1.6,0.85,0.67,0.18,0.78,0.13,0.65,1.63,0.79,0.84,2,2,0,-1.6,63.8,58.89,45.31,0.87,0.8,255,14,10,10,11.49,12.5,7.62,2,7,20,2,11,159.6,65.57,4.27,2.77,60.27,26.16,0,Schalke 04 2-2 Hannover 96,2026-03-15,D,1,0,1,0,-4.909999999999997,0.06999999999999995,2.54,-1.54,2.7471264367816093,0.9770114942528736,0.9875,0.8375
9,Hannover 96,2.05,1.33,0.72,0.51,1.13,-0.62,0.78,0.2,0.58,1.29,1.33,-0.04,1,2,-1,-1.72,60.8,71.53,49.35,1.19,0.17,238,26,24,14,20.17,82.35,8.12,5,3,28,17,10,187,87.22,21.47,22.09,119.2,68.87,1,Hannover 96 1-2 Greuther Fürth,2026-03-08,L,0,0,0,1,10.730000000000004,1.02,1.98,-1.98,1.722689075630252,0.4285714285714286,7.823529411764706,6.64705882352941
10,Hannover 96,1.11,1.98,-0.87,0.29,1.34,-1.05,0.05,0.64,-0.59,0.35,1.98,-1.63,1,0,1,1.87,56.7,41.37,37.79,0.25,1.28,142,5,6,22,24,17.19,7.91,4,13,10,3,13,52,26.78,10.2,6.65,15.57,6.49,0,Arminia Bielefeld 0-1 Hannover 96,2026-02-28,W,3,1,0,0,-15.330000000000005,-1.03,0.87,2.13,4.44,1.16,1.546875,1.046875
11,Hannover 96,0.91,0.78,0.13,0.77,0.78,-0.01,0.14,0,0.14,0.91,0.78,0.13,0,0,0,-0.13,56.3,65.77,45.61,0.59,0.41,256,19,12,6,20.34,14.63,11.55,2,6,16,9,15,199.5,84.86,38.87,27.71,186.37,68.68,0,Hannover 96 0-0 Dynamo Dresden,2026-02-22,D,1,0,1,0,9.469999999999999,0.18,1.68,-0.68,1.5423728813559323,1.305084745762712,1.902439024390244,1.902439024390244
12,Hannover 96,2.77,1.67,1.1,2.35,0.84,1.51,0.42,0.07,0.35,2.77,0.91,1.86,3,2,1,-0.1,45.1,44.81,41.51,0.55,0.72,158,16,12,15,21.82,20.83,12.94,7,9,12,6,11,105.4,47.5,63.93,63.8,144.37,69.52,1,Hertha BSC 2-3 Hannover 96,2026-02-14,W,3,1,0,0,-0.28999999999999915,-0.16999999999999993,2.06,0.94,5.036363636363636,4.2727272727272725,2.3194444444444446,1.1666666666666667
13,Hannover 96,5.04,1.46,3.58,4.86,1.4,3.46,0.18,0.06,0.12,5.04,1.46,3.58,3,1,2,-1.58,51.8,63.47,45.54,1.48,0.3,208,28,20,8,13.51,26.67,9.72,14,4,16,10,12,189.5,81.4,87.4,62.04,353.73,92.25,1,Hannover 96 3-1 Holstein Kiel,2026-02-08,W,3,1,0,0,11.670000000000002,1.18,2.61,0.39,3.4054054054054053,3.283783783783784,4.866666666666667,4.666666666666667
14,Hannover 96,2.18,0.79,1.39,2.18,0.78,1.4,0,0.01,-0.01,2.18,0.79,1.39,2,1,1,-0.39,43,44.05,44.33,0.55,0.98,172,13,12,13,21.82,13.27,12.68,3,5,10,3,18,99.2,46.64,85.53,73.95,140.4,70.45,0,Magdeburg 1-2 Hannover 96,2026-01-30,W,3,1,0,0,1.0499999999999972,-0.42999999999999994,2.48,0.52,3.9636363636363634,3.9636363636363634,0.8061224489795918,0.7959183673469388
15,Hannover 96,2.27,0.67,1.6,1.36,0.64,0.72,0.15,0.02,0.13,1.51,0.67,0.84,2,1,1,-0.6,52.1,53.24,45.76,1,0.75,231,11,10,7,10,9.33,10.26,3,8,15,5,17,106.7,67.23,57.8,46.29,132.5,74.2,0,Hannover 96 2-1 Fortuna Düsseldorf,2026-01-24,W,3,1,0,0,1.1400000000000006,0.25,2.6,0.4,2.27,1.36,0.8933333333333334,0.8533333333333334
16,Hannover 96,1.26,3.03,-1.77,1.24,3,-1.76,0.01,0.03,-0.02,1.26,3.03,-1.77,1,3,-2,-0.23,51.2,44.37,42.4,0.97,0.67,173,12,11,16,11.34,23.88,10.15,3,5,19,6,14,88.6,41.44,34,31.89,47.4,28.69,0,Kaiserslautern 3-1 Hannover 96,2026-01-18,L,0,0,0,1,-6.830000000000005,0.29999999999999993,0.62,-0.62,1.2989690721649485,1.2783505154639176,4.522388059701492,4.477611940298507
17,Hannover 96,2.22,1.27,0.95,2.14,1.07,1.07,0.07,0.21,-0.14,2.22,1.27,0.95,1,2,-1,-1.95,67.2,66.67,46.32,1.1,0.64,247,15,15,10,13.64,15.62,8.34,5,3,18,6,9,129.3,78.55,14.07,10.67,81.17,47.31,4,Nürnberg 2-1 Hannover 96,2025-12-21,L,0,0,0,1,-0.5300000000000011,0.4600000000000001,2.11,-2.11,2.018181818181818,1.9454545454545453,1.984375,1.671875
18,Hannover 96,2.97,1.11,1.86,1.08,1.11,-0.03,1.13,0,1.13,2.21,1.11,1.1,0,0,0,-1.86,63.7,62.01,48.32,0.8,0.45,311,14,20,8,25,17.78,11.84,3,1,23,7,4,139,82.89,2.2,1.73,69.87,45.92,0,Hannover 96 0-0 Bochum,2025-12-13,D,1,0,1,0,-1.6900000000000048,0.35000000000000003,2.46,-1.46,3.7125,1.35,2.466666666666667,2.466666666666667
19,Hannover 96,2,1.96,0.04,2,0.85,1.15,0,0.35,-0.35,2,1.2,0.8,2,2,0,-0.04,44.2,38.66,42.81,0.23,0.52,187,1,4,20,17.39,38.46,12.39,2,9,7,2,17,32.7,16.47,82.6,53.61,66.77,34.9,0,Preußen Münster 2-2 Hannover 96,2025-12-05,D,1,0,1,0,-5.540000000000006,-0.29000000000000004,1.52,-0.52,8.695652173913043,8.695652173913043,3.769230769230769,1.6346153846153846
20,Hannover 96,3.85,0.64,3.21,3.79,0.6,3.19,0.06,0.04,0.02,3.85,0.64,3.21,3,0,3,-0.21,56,65.17,48.07,1.19,0.38,282,21,18,9,15.13,23.68,17.33,6,3,13,4,12,167,80.02,72.13,38.86,175.43,84.21,0,Hannover 96 3-0 Karlsruher SC,2025-11-28,W,3,1,0,0,9.170000000000002,0.8099999999999999,2.82,0.18,3.235294117647059,3.184873949579832,1.6842105263157894,1.5789473684210527
21,Hannover 96,1.52,1.12,0.4,1.52,0.49,1.03,0,0.63,-0.63,1.52,1.12,0.4,2,0,2,1.6,44.8,47.47,45.24,0.5,0.7,190,16,15,16,30,22.86,13.44,6,9,14,4,5,102.8,52.83,81.93,69.51,147.13,81.49,1,Paderborn 0-2 Hannover 96,2025-11-22,W,3,1,0,0,2.6700000000000017,-0.19999999999999996,1.85,1.15,3.04,3.04,1.6000000000000003,0.7000000000000001
22,Hannover 96,1.91,2.14,-0.23,1.79,1.84,-0.05,0.13,0.3,-0.17,1.91,2.14,-0.23,2,3,-1,-0.77,49.1,61.35,49.23,0.48,0.57,238,14,20,16,41.67,28.07,10.33,8,3,14,5,16,134.6,63.64,59.47,54.69,160.37,64.24,0,Hannover 96 2-3 Darmstadt 98,2025-11-08,L,0,0,0,1,12.25,-0.08999999999999997,1.37,-1.37,3.9791666666666665,3.729166666666667,3.7543859649122813,3.2280701754385968
