,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Kaiserslautern,2.21,1.31,0.9,1.45,1.26,0.19,0,0.04,-0.04,1.45,1.31,0.14,1,0,1,0.1,42.1,38.46,42.42,0.39,0.81,142,4,8,13,20.51,16.05,17.15,1,5,7,0,12,36.7,25.56,92.67,81.33,72.23,55.45,0,Magdeburg 0-1 Kaiserslautern,2026-05-17,W,3,1,0,0,-3.6400000000000006,-0.42000000000000004,2.07,0.93,5.666666666666666,3.7179487179487176,1.6172839506172838,1.5555555555555554
1,Kaiserslautern,2.11,1.98,0.13,1.25,1.97,-0.72,0.09,0.02,0.07,1.35,1.98,-0.63,2,0,2,1.87,37,35.43,44.01,0.4,1.07,112,13,12,19,30,17.76,11.79,0,5,12,4,21,49.6,29.79,90.93,86.39,121.77,66.38,0,Kaiserslautern 2-0 Arminia Bielefeld,2026-05-08,W,3,1,0,0,-1.5700000000000003,-0.67,1.57,1.43,5.2749999999999995,3.125,1.8504672897196262,1.8411214953271027
2,Kaiserslautern,0.21,1.67,-1.46,0.15,0.98,-0.83,0.07,0.68,-0.61,0.21,1.67,-1.46,0,1,-1,0.46,47.1,59.91,42.4,0.79,0.31,169,8,5,15,6.33,48.39,18.26,2,0,24,4,10,54.1,40.59,82.2,60.71,75.03,50.47,0,Dynamo Dresden 1-0 Kaiserslautern,2026-05-02,L,0,0,0,1,12.809999999999995,0.48000000000000004,0.12,-0.12,0.26582278481012656,0.18987341772151897,5.387096774193548,3.161290322580645
3,Kaiserslautern,1.08,1.73,-0.65,0.92,1.73,-0.81,0.16,0,0.16,1.08,1.73,-0.65,0,2,-2,-1.35,73.6,74.29,48.98,0.89,0.34,347,17,13,8,14.61,23.53,8.19,8,4,39,12,8,174.3,92.71,4.4,2.8,25.07,21.95,3,Kaiserslautern 0-2 Eintracht Braunschweig,2026-04-24,L,0,0,0,1,0.6900000000000119,0.55,0.98,-0.98,1.2134831460674158,1.0337078651685394,5.088235294117647,5.088235294117647
4,Kaiserslautern,0.72,2.46,-1.74,0.72,2.15,-1.43,0,0.31,-0.31,0.72,2.46,-1.74,0,3,-3,-1.26,49.1,39.75,39.83,0.91,0.71,161,7,6,15,6.59,21.13,12.74,4,7,15,0,9,35.4,22.19,64,48.61,34.98,10.99,1,Holstein Kiel 3-0 Kaiserslautern,2026-04-17,L,0,0,0,1,-9.350000000000001,0.20000000000000007,0.39,-0.39,0.7912087912087912,0.7912087912087912,3.4647887323943665,3.028169014084507
5,Kaiserslautern,1.52,1.57,-0.05,0.98,1.54,-0.56,0.55,0.04,0.51,1.52,1.57,-0.05,1,0,1,1.05,40.4,36.86,44.99,0.88,0.87,136,7,11,19,12.5,21.84,12.72,3,6,19,5,12,41.1,24.06,64.6,68.82,57.4,41.39,0,Hertha BSC 0-1 Kaiserslautern,2026-04-11,W,3,1,0,0,-3.539999999999999,0.010000000000000009,1.46,1.54,1.7272727272727273,1.1136363636363635,1.8045977011494254,1.7701149425287357
6,Kaiserslautern,3.06,0.76,2.3,2.34,0.66,1.68,0.72,0.1,0.62,3.06,0.76,2.3,3,0,3,0.7,63.8,65.74,51.15,1.44,0.56,321,21,23,9,15.97,16.07,11.67,4,7,30,9,10,183.6,90.13,2.27,1.94,137.8,73.48,0,Kaiserslautern 3-0 Fortuna Düsseldorf,2026-04-04,W,3,1,0,0,1.9399999999999977,0.8799999999999999,2.68,0.32,2.125,1.625,1.357142857142857,1.1785714285714286
7,Kaiserslautern,1.13,2.99,-1.86,1.05,1.14,-0.09,0.08,1.09,-1.01,1.13,2.23,-1.1,0,3,-3,-1.14,51.8,42.41,42.74,0.2,0.89,155,4,6,21,30,23.6,8.97,2,6,8,1,14,78.3,32.12,10.07,12.02,61.57,16.74,1,Nürnberg 3-0 Kaiserslautern,2026-03-21,L,0,0,0,1,-9.39,-0.69,0.55,-0.55,5.6499999999999995,5.25,3.359550561797753,1.2808988764044942
8,Kaiserslautern,3.99,1.01,2.98,3.99,0.98,3.01,0,0.03,-0.03,3.99,1.01,2.98,3,0,3,0.02,45.5,44.38,47.31,0.89,0.7,201,19,18,13,20.22,18.57,14.14,5,5,21,5,8,82.4,49.61,74.27,70.2,202.53,90.47,1,Kaiserslautern 3-0 Karlsruher SC,2026-03-15,W,3,1,0,0,-1.1199999999999974,0.19000000000000006,2.68,0.32,4.48314606741573,4.48314606741573,1.442857142857143,1.4000000000000001
9,Kaiserslautern,1.94,2.72,-0.78,1.81,2,-0.19,0.14,0.72,-0.58,1.94,2.72,-0.78,2,3,-1,-0.22,43.9,37.13,39.29,1.22,1.05,118,17,9,17,7.38,16.19,21.25,0,4,14,6,11,33.7,22.29,49.13,48.68,28.03,18.49,0,Bochum 3-2 Kaiserslautern,2026-03-07,L,0,0,0,1,-6.769999999999996,0.16999999999999993,1.12,-1.12,1.5901639344262295,1.4836065573770492,2.5904761904761906,1.9047619047619047
