,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Karlsruher SC,2.21,1.35,0.86,1.23,1.35,-0.12,0.98,0,0.98,2.21,1.35,0.86,1,2,-1,-1.86,61.4,58.41,47.08,0.94,0.3,278,25,16,11,17.02,36.67,14.04,2,3,28,11,8,131.5,81.37,12.67,10.87,54.97,39.43,1,Karlsruher SC 1-2 Bochum,2026-05-17,L,0,0,0,1,-2.990000000000002,0.6399999999999999,2.04,-2.04,2.351063829787234,1.3085106382978724,4.500000000000001,4.500000000000001
1,Karlsruher SC,0.75,3.09,-2.34,0.7,2.95,-2.25,0.06,0.15,-0.09,0.75,3.09,-2.34,2,2,0,2.34,50.5,42.37,40.68,0.49,0.79,157,9,8,19,16.33,24.05,17.57,1,7,4,1,10,74.1,36.41,56.93,39.98,63.73,28.16,0,Paderborn 2-2 Karlsruher SC,2026-05-08,D,1,0,1,0,-8.130000000000003,-0.30000000000000004,0.31,0.69,1.530612244897959,1.4285714285714286,3.9113924050632907,3.7341772151898733
2,Karlsruher SC,2.77,1.54,1.23,2.52,1.54,0.98,0.25,0,0.25,2.77,1.54,1.23,2,1,1,-0.23,47.7,49.53,49.24,0.99,0.7,202,17,22,14,22.22,20,15.42,3,1,15,5,8,109.3,53.27,78.33,76.2,138.57,68.64,0,Karlsruher SC 2-1 Darmstadt 98,2026-05-03,W,3,1,0,0,1.8299999999999983,0.29000000000000004,2.13,0.87,2.797979797979798,2.5454545454545454,2.2,2.2
3,Karlsruher SC,0.8,1.25,-0.45,0.72,0.49,0.23,0.07,0,0.07,0.8,0.49,0.31,1,3,-2,-1.55,49.9,58.33,46.98,0.86,0.13,254,13,8,10,9.3,76.92,22.95,6,1,23,3,13,131.6,64.1,101.53,57.73,108.1,64.31,0,Karlsruher SC 1-3 Hannover 96,2026-04-25,L,0,0,0,1,8.43,0.73,1.01,-1.01,0.930232558139535,0.8372093023255813,9.615384615384615,3.769230769230769
4,Karlsruher SC,0.75,2.82,-2.07,0.75,2.79,-2.04,0,0.03,-0.03,0.75,2.82,-2.07,0,3,-3,-0.93,64.1,58.33,45.19,0.73,0.66,297,13,10,15,13.7,22.73,14.65,4,3,11,1,8,167.7,56.87,11.27,7.26,87.34,23.55,1,Elversberg 3-0 Karlsruher SC,2026-04-17,L,0,0,0,1,-5.769999999999996,0.06999999999999995,0.35,-0.35,1.0273972602739727,1.0273972602739727,4.2727272727272725,4.2272727272727275
5,Karlsruher SC,1.48,2.27,-0.79,1.4,1.55,-0.15,0.08,0.72,-0.64,1.48,2.27,-0.79,4,1,3,3.79,39.1,35.41,44.77,0.51,1.35,124,10,12,22,23.53,16.3,13.81,3,1,15,4,9,64.4,28.47,72.6,79.26,103.24,47.16,0,Karlsruher SC 4-1 Arminia Bielefeld,2026-04-10,W,3,1,0,0,-3.690000000000005,-0.8400000000000001,1.02,1.98,2.9019607843137254,2.745098039215686,1.6814814814814814,1.1481481481481481
6,Karlsruher SC,0.29,2.13,-1.84,0.27,2.13,-1.86,0.02,0,0.02,0.29,2.13,-1.84,0,1,-1,0.84,47.4,36.47,40.84,0.33,1,159,7,4,24,12.12,24,12.7,7,1,19,3,8,29.9,13.27,42,35.69,20.4,8.12,0,Schalke 04 1-0 Karlsruher SC,2026-04-05,L,0,0,0,1,-10.93,-0.6699999999999999,0.13,-0.13,0.8787878787878787,0.8181818181818182,2.13,2.13
7,Karlsruher SC,2.24,1.64,0.6,1.77,1.42,0.35,0.47,0.22,0.25,2.24,1.64,0.6,3,1,2,1.4,49.7,56.04,48.82,1.32,0.28,218,23,12,10,9.09,35.71,14.43,2,4,22,3,16,133.5,67.12,54.67,57.79,128.77,64.03,0,Karlsruher SC 3-1 Greuther Fürth,2026-03-20,W,3,1,0,0,6.339999999999996,1.04,1.85,1.15,1.696969696969697,1.3409090909090908,5.857142857142856,5.07142857142857
8,Karlsruher SC,1.01,3.99,-2.98,0.98,3.99,-3.01,0.03,0,0.03,1.01,3.99,-2.98,0,3,-3,-0.02,54.5,55.62,46.62,0.7,0.89,235,13,13,18,18.57,20.22,12.11,5,5,15,2,14,83.7,50.39,31.53,29.8,21.33,9.53,0,Kaiserslautern 3-0 Karlsruher SC,2026-03-15,L,0,0,0,1,1.1199999999999974,-0.19000000000000006,0.32,-0.32,1.442857142857143,1.4000000000000001,4.48314606741573,4.48314606741573
9,Karlsruher SC,3.18,2.17,1.01,1.22,2.11,-0.89,0.44,0.06,0.38,1.66,2.17,-0.51,3,3,0,-1.01,49.5,54.95,47.13,0.9,0.62,237,19,22,12,24.44,19.35,14.77,6,5,21,7,10,179.7,65.16,87.87,59.08,132.4,61.3,0,Karlsruher SC 3-3 Dynamo Dresden,2026-03-08,D,1,0,1,0,5.450000000000003,0.28,1.93,-0.93,3.533333333333333,1.3555555555555554,3.5,3.4032258064516125
10,Karlsruher SC,1.22,2.45,-1.23,1.22,1.62,-0.4,0,0.83,-0.83,1.22,2.45,-1.23,3,1,2,3.23,36.6,30.12,43.08,0.38,1.45,124,6,8,23,21.05,15.86,16.08,5,6,5,2,12,23.8,10.74,83.4,85.45,62.27,38.88,0,Magdeburg 1-3 Karlsruher SC,2026-03-01,W,3,1,0,0,-6.48,-1.0699999999999998,0.77,2.23,3.2105263157894735,3.2105263157894735,1.6896551724137934,1.1172413793103448
11,Karlsruher SC,2.75,1.81,0.94,1.91,1.78,0.13,0.08,0.04,0.04,1.99,1.81,0.18,3,1,2,1.06,32,34.75,44.04,0.62,1.12,105,10,14,15,22.58,13.39,12.16,3,2,15,3,23,76.1,35.09,123.67,94.21,154.02,74.84,0,Karlsruher SC 3-1 Holstein Kiel,2026-02-21,W,3,1,0,0,2.75,-0.5000000000000001,1.97,1.03,4.435483870967742,3.0806451612903225,1.6160714285714284,1.5892857142857142
12,Karlsruher SC,1.97,2.68,-0.71,1.14,2.68,-1.54,0.07,0,0.07,1.21,2.68,-1.47,1,5,-4,-3.29,57.3,68.56,46.1,0.7,0.65,239,11,11,12,15.71,18.46,11.18,3,5,21,6,14,133,71.74,24.87,24.22,53.78,32.21,0,Nürnberg 5-1 Karlsruher SC,2026-02-13,L,0,0,0,1,11.260000000000005,0.04999999999999993,1.15,-1.15,2.8142857142857145,1.6285714285714286,4.1230769230769235,4.1230769230769235
13,Karlsruher SC,0.37,2.45,-2.08,0.37,2.37,-2,0,0.08,-0.08,0.37,2.45,-2.08,1,1,0,2.08,56.3,61.07,47.52,0.52,0.69,246,11,6,19,11.54,27.54,10.65,6,5,24,3,13,96.7,56.19,27.07,27.87,61.47,40.14,1,Karlsruher SC 1-1 Fortuna Düsseldorf,2026-02-08,D,1,0,1,0,4.770000000000003,-0.16999999999999993,0.16,0.84,0.7115384615384615,0.7115384615384615,3.55072463768116,3.4347826086956528
