,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Holstein Kiel,1.26,1.05,0.21,0.42,0.61,-0.19,0.08,0.44,-0.36,0.5,1.05,-0.55,1,2,-1,-1.21,58.9,60.55,46.38,0.49,0.38,245,13,9,10,18.37,26.32,7.14,9,6,21,9,17,129.4,65.82,22.8,20.7,84.8,35.43,0,Dynamo Dresden 2-1 Holstein Kiel,2026-05-17,L,0,0,0,1,1.6499999999999986,0.10999999999999999,1.71,-1.71,2.5714285714285716,0.8571428571428571,2.763157894736842,1.6052631578947367
1,Holstein Kiel,1.19,2.41,-1.22,1.04,0.77,0.27,0.15,1.63,-1.48,1.19,2.41,-1.22,1,3,-2,-0.78,59.6,63.55,49.74,1.09,1.2,277,18,13,14,11.93,11.67,7.37,7,6,21,10,13,149.7,70.48,17.27,18.48,99.03,42.19,2,Holstein Kiel 1-3 Magdeburg,2026-05-09,L,0,0,0,1,3.9499999999999957,-0.10999999999999988,0.76,-0.76,1.091743119266055,0.9541284403669724,2.0083333333333337,0.6416666666666667
2,Holstein Kiel,2.04,0.65,1.39,1.97,0.53,1.44,0.07,0.12,-0.05,2.04,0.65,1.39,2,0,2,0.61,53.8,46.94,40.68,0.68,0.69,144,13,12,9,17.65,13.04,9.72,2,11,15,4,13,98.5,59.23,32.13,31.24,113.93,53.56,2,Holstein Kiel 2-0 Eintracht Braunschweig,2026-05-02,W,3,1,0,0,-6.859999999999999,-0.009999999999999898,2.56,0.44,3,2.8970588235294117,0.9420289855072465,0.7681159420289856
3,Holstein Kiel,0.5,1.8,-1.3,0.47,1.75,-1.28,0.02,0.05,-0.03,0.5,1.8,-1.3,1,0,1,2.3,40.5,28.94,36.27,0.11,0.53,78,7,6,23,54.55,43.4,13.04,5,6,10,3,15,18.8,8.29,47.2,46.22,30.6,12.79,3,Hertha BSC 0-1 Holstein Kiel,2026-04-25,W,3,1,0,0,-11.559999999999999,-0.42000000000000004,0.37,2.63,4.545454545454546,4.2727272727272725,3.3962264150943398,3.30188679245283
4,Holstein Kiel,2.46,0.72,1.74,2.15,0.72,1.43,0.31,0,0.31,2.46,0.72,1.74,3,0,3,1.26,50.9,60.25,42.85,0.71,0.91,199,18,15,6,21.13,6.59,15.89,7,4,12,5,9,124.1,77.81,67.67,51.39,283.22,89.01,1,Holstein Kiel 3-0 Kaiserslautern,2026-04-17,W,3,1,0,0,9.350000000000001,-0.20000000000000007,2.61,0.39,3.4647887323943665,3.028169014084507,0.7912087912087912,0.7912087912087912
5,Holstein Kiel,1.27,1.47,-0.2,1.11,0.98,0.13,0.16,0.49,-0.33,1.27,1.47,-0.2,2,1,1,1.2,42.6,29.26,37.46,0.49,0.83,108,7,11,14,22.45,16.87,14.89,0,13,9,3,13,50.6,29.18,57.53,57.27,63.97,40.86,0,Fortuna Düsseldorf 1-2 Holstein Kiel,2026-04-10,W,3,1,0,0,-13.34,-0.33999999999999997,1.33,1.67,2.5918367346938775,2.2653061224489797,1.7710843373493976,1.180722891566265
6,Holstein Kiel,0.86,0.68,0.18,0.69,0.65,0.04,0.17,0.02,0.15,0.86,0.68,0.18,0,0,0,-0.18,66.5,68.1,56.46,0.88,0.46,361,16,13,6,14.77,13.04,6.5,2,4,38,11,15,190.4,83,17,19.14,149.83,73.79,4,Holstein Kiel 0-0 Preußen Münster,2026-04-05,D,1,0,1,0,1.5999999999999943,0.42,1.77,-0.77,0.9772727272727273,0.7840909090909091,1.4782608695652175,1.4130434782608696
7,Holstein Kiel,2.3,1.4,0.9,2.16,1.12,1.04,0.14,0.28,-0.14,2.3,1.4,0.9,3,2,1,0.1,52.9,36.29,38.77,0.82,0.59,140,8,10,20,12.2,33.9,8.31,2,2,5,3,22,50,27.53,22.8,18.55,36.97,17.29,2,Bochum 2-3 Holstein Kiel,2026-03-22,W,3,1,0,0,-16.61,0.22999999999999998,2.05,0.95,2.8048780487804876,2.6341463414634148,2.3728813559322033,1.898305084745763
8,Holstein Kiel,3.5,1.82,1.68,2.43,1.66,0.77,1.08,0.16,0.92,3.5,1.82,1.68,2,3,-1,-2.68,61.9,68.73,46.66,0.65,0.71,250,18,21,9,32.31,12.68,6.78,6,2,30,7,18,185.4,78.26,24.53,19.28,106.63,55.4,6,Holstein Kiel 2-3 Nürnberg,2026-03-14,L,0,0,0,1,6.830000000000005,-0.05999999999999994,2.2,-2.2,5.384615384615384,3.7384615384615385,2.563380281690141,2.3380281690140845
9,Holstein Kiel,1.52,2.87,-1.35,0.94,2.65,-1.71,0.58,0.22,0.36,1.52,2.87,-1.35,0,2,-2,-0.65,33,30.4,41.69,0.4,1.35,103,11,7,15,17.5,11.11,18.22,6,6,14,5,12,42.4,18.56,119.6,89.7,62.07,22.18,1,Darmstadt 98 2-0 Holstein Kiel,2026-03-07,L,0,0,0,1,-2.6000000000000014,-0.9500000000000001,0.82,-0.82,3.8,2.3499999999999996,2.1259259259259258,1.9629629629629628
10,Holstein Kiel,1.21,1.23,-0.02,1.02,1.19,-0.17,0.19,0.04,0.15,1.21,1.23,-0.02,1,1,0,0.02,51.9,41.44,41.24,0.46,0.62,145,8,10,7,21.74,11.29,8.03,8,2,16,5,16,60.4,36.9,23.6,26.72,51.17,27.46,2,Holstein Kiel 1-1 Elversberg,2026-02-28,D,1,0,1,0,-10.46,-0.15999999999999998,1.48,-0.48,2.6304347826086953,2.217391304347826,1.9838709677419355,1.9193548387096773
11,Holstein Kiel,1.81,2.75,-0.94,1.78,1.91,-0.13,0.04,0.08,-0.04,1.81,1.99,-0.18,1,3,-2,-1.06,68,65.25,49.2,1.12,0.62,288,10,15,14,13.39,22.58,5.37,2,3,20,4,12,140.8,64.91,7.6,5.79,51.79,25.16,2,Karlsruher SC 3-1 Holstein Kiel,2026-02-21,L,0,0,0,1,-2.75,0.5000000000000001,1.03,-1.03,1.6160714285714284,1.5892857142857142,4.435483870967742,3.0806451612903225
12,Holstein Kiel,1.4,2.94,-1.54,0.45,1.23,-0.78,0.19,1.71,-1.52,0.64,2.94,-2.3,1,2,-1,0.54,54.2,40.07,37.85,0.5,1.01,125,9,10,21,20,20.79,6.35,3,10,22,9,19,61.5,28.64,10.07,10.56,21.17,8.91,4,Holstein Kiel 1-2 Schalke 04,2026-02-15,L,0,0,0,1,-14.130000000000003,-0.51,0.73,-0.73,2.8,0.9,2.910891089108911,1.2178217821782178
13,Holstein Kiel,1.46,5.04,-3.58,1.4,4.86,-3.46,0.06,0.18,-0.12,1.46,5.04,-3.58,1,3,-2,1.58,48.2,36.53,36.95,0.3,1.48,142,6,8,20,26.67,13.51,14.81,4,14,14,4,18,43.3,18.6,53.47,37.96,29.7,7.75,1,Hannover 96 3-1 Holstein Kiel,2026-02-08,L,0,0,0,1,-11.670000000000002,-1.18,0.39,-0.39,4.866666666666667,4.666666666666667,3.4054054054054053,3.283783783783784
14,Holstein Kiel,1.02,1.12,-0.1,0.92,0.33,0.59,0.09,0.03,0.06,1.02,0.36,0.66,1,2,-1,-0.9,67.9,70.99,47.13,0.78,0.2,274,17,13,5,16.67,25,5.71,11,8,27,6,13,167.9,83.28,7.53,5.62,55.87,45.71,4,Holstein Kiel 1-2 Greuther Fürth,2026-01-31,L,0,0,0,1,3.089999999999989,0.5800000000000001,1.39,-1.39,1.3076923076923077,1.1794871794871795,5.6000000000000005,1.65
15,Holstein Kiel,1.28,1.94,-0.66,1.07,1.15,-0.08,0.21,0.03,0.18,1.28,1.18,0.1,2,2,0,0.66,38.8,24.54,38.42,0.34,1.67,101,5,9,14,26.47,8.38,23.59,0,12,14,6,16,36.3,15.8,52.13,43.2,14.07,5.27,0,Arminia Bielefeld 2-2 Holstein Kiel,2026-01-23,D,1,0,1,0,-14.259999999999998,-1.3299999999999998,1.04,-0.04,3.764705882352941,3.1470588235294117,1.1616766467065869,0.688622754491018
