,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Magdeburg,1.31,2.21,-0.9,1.26,1.45,-0.19,0.04,0,0.04,1.31,1.45,-0.14,0,1,-1,-0.1,57.9,61.54,41.21,0.81,0.39,163,12,13,8,16.05,20.51,10.79,5,1,14,3,9,106.9,74.44,21.27,18.67,58.03,44.55,0,Magdeburg 0-1 Kaiserslautern,2026-05-17,L,0,0,0,1,3.6400000000000006,0.42000000000000004,0.93,-0.93,1.6172839506172838,1.5555555555555554,5.666666666666666,3.7179487179487176
1,Magdeburg,2.41,1.19,1.22,0.77,1.04,-0.27,1.63,0.15,1.48,2.41,1.19,1.22,3,1,2,0.78,40.4,36.45,45.79,1.2,1.09,139,13,14,13,11.67,11.93,11.32,6,7,15,5,11,62.7,29.52,76.2,81.52,135.67,57.81,0,Holstein Kiel 1-3 Magdeburg,2026-05-09,W,3,1,0,0,-3.9499999999999957,0.10999999999999988,2.24,0.76,2.0083333333333337,0.6416666666666667,1.091743119266055,0.9541284403669724
2,Magdeburg,0.86,1.22,-0.36,0.86,0.52,0.34,0,0.69,-0.69,0.86,1.22,-0.36,1,0,1,1.36,46.8,37.39,44.11,0.37,0.91,166,8,7,14,18.92,15.38,17.58,1,5,11,1,7,44.4,21.07,30.6,35.12,24.97,13.18,1,Magdeburg 1-0 Hertha BSC,2026-05-03,W,3,1,0,0,-9.409999999999997,-0.54,1.11,1.89,2.324324324324324,2.324324324324324,1.3406593406593406,0.5714285714285714
3,Magdeburg,0.24,1.53,-1.29,0.15,1.25,-1.1,0.09,0.27,-0.18,0.24,1.53,-1.29,0,1,-1,0.29,51.2,48.53,44.56,0.55,1.38,174,19,6,13,10.91,9.42,9.57,6,2,15,5,14,53.9,32.37,61.2,57.63,54.97,32.35,4,Nürnberg 1-0 Magdeburg,2026-04-26,L,0,0,0,1,-2.6700000000000017,-0.8299999999999998,0.16,-0.16,0.4363636363636363,0.2727272727272727,1.108695652173913,0.9057971014492754
4,Magdeburg,1.33,1.16,0.17,1.33,1.02,0.31,0,0.14,-0.14,1.33,1.16,0.17,2,0,2,1.83,44.5,35.21,44.4,0.59,1.09,172,9,11,11,18.64,10.09,18.21,4,6,15,7,6,56,22.67,58,51.75,88.93,40.85,1,Magdeburg 2-0 Fortuna Düsseldorf,2026-04-18,W,3,1,0,0,-9.29,-0.5000000000000001,1.66,1.34,2.2542372881355934,2.2542372881355934,1.0642201834862384,0.9357798165137614
5,Magdeburg,1.12,1.64,-0.52,0.72,0.86,-0.14,0.39,0.77,-0.38,1.12,1.64,-0.52,3,4,-1,-0.48,57.6,62.61,48.57,0.65,0.92,259,18,16,10,24.62,10.87,9.43,4,5,20,7,11,162.8,73.37,28.07,26.9,133.1,59.1,1,Paderborn 4-3 Magdeburg,2026-04-12,L,0,0,0,1,5.009999999999998,-0.27,1.07,-1.07,1.7230769230769232,1.1076923076923075,1.7826086956521738,0.9347826086956521
6,Magdeburg,2.15,1.49,0.66,2.09,1.26,0.83,0.05,0.23,-0.18,2.15,1.49,0.66,4,1,3,2.34,53.2,48.47,46.35,0.86,0.95,212,20,12,18,13.95,18.95,11.73,4,4,8,4,9,79.1,43.13,70,54.32,117.51,63.73,0,Magdeburg 4-1 Bochum,2026-04-04,W,3,1,0,0,-4.730000000000004,-0.08999999999999997,1.91,1.09,2.5,2.4302325581395348,1.568421052631579,1.3263157894736843
7,Magdeburg,2.23,1.53,0.7,1.47,1.44,0.03,0,0.09,-0.09,1.47,1.53,-0.06,3,1,2,1.3,51.9,52.44,49.6,0.5,0.93,239,10,8,14,16,15.05,11.42,6,10,17,3,19,110.5,49.66,59.13,44.84,90.63,58.6,1,Preußen Münster 1-3 Magdeburg,2026-03-22,W,3,1,0,0,0.5399999999999991,-0.43000000000000005,1.92,1.08,4.46,2.94,1.6451612903225805,1.5483870967741935
8,Magdeburg,1.26,0.66,0.6,1.15,0.66,0.49,0.11,0,0.11,1.26,0.66,0.6,1,1,0,-0.6,56.6,63.88,48.02,0.85,0.51,246,15,18,10,21.18,19.61,12.21,9,1,14,8,6,160.1,80.94,19.47,19.88,101.63,60.87,1,Magdeburg 1-1 Darmstadt 98,2026-03-13,D,1,0,1,0,7.280000000000001,0.33999999999999997,2.19,-1.19,1.4823529411764707,1.352941176470588,1.2941176470588236,1.2941176470588236
9,Magdeburg,1.09,1.65,-0.56,1.09,1.07,0.02,0,0.58,-0.58,1.09,1.65,-0.56,0,1,-1,-0.44,50.7,38.99,40.62,0.62,1.04,154,10,14,15,22.58,14.42,13.26,5,13,14,5,11,62.6,28.51,10.87,9.67,25.57,10.8,0,Elversberg 1-0 Magdeburg,2026-03-06,L,0,0,0,1,-11.71,-0.42000000000000004,1.04,-1.04,1.7580645161290325,1.7580645161290325,1.5865384615384615,1.028846153846154
