,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Preußen Münster,0.32,3.1,-2.78,0.32,2.5,-2.18,0,0.59,-0.59,0.32,3.1,-2.78,0,3,-3,-0.22,37.1,30.77,40.51,0.26,1.72,111,4,5,11,19.23,6.4,11.77,4,7,11,2,17,25.8,13.45,114.33,82.25,32.63,11.88,1,Elversberg 3-0 Preußen Münster,2026-05-17,L,0,0,0,1,-6.330000000000002,-1.46,0.09,-0.09,1.2307692307692308,1.2307692307692308,1.802325581395349,1.4534883720930232
1,Preußen Münster,0.93,2.26,-1.33,0.91,1.17,-0.26,0.02,0.33,-0.31,0.93,1.5,-0.57,1,1,0,1.33,27.9,31.98,48.76,0.51,1.46,111,11,10,22,19.61,15.07,21.71,2,3,15,5,11,32.5,13.47,154.6,98.93,85.27,44.11,6,Preußen Münster 1-1 Darmstadt 98,2026-05-10,D,1,0,1,0,4.080000000000002,-0.95,0.61,0.39,1.8235294117647058,1.7843137254901962,1.547945205479452,0.8013698630136986
2,Preußen Münster,2.39,2.81,-0.42,2.16,2.76,-0.6,0.23,0.05,0.18,2.39,2.81,-0.42,3,3,0,0.42,31.2,35.09,50.72,1.06,1.38,134,9,16,19,15.09,13.77,11.26,5,3,20,6,18,56.6,21.05,127.47,95.7,99.9,48.91,3,Hannover 96 3-3 Preußen Münster,2026-05-03,D,1,0,1,0,3.890000000000004,-0.31999999999999984,1.31,-0.31,2.2547169811320753,2.0377358490566038,2.036231884057971,2
3,Preußen Münster,2.55,1.3,1.25,1.35,1.01,0.34,1.19,0.29,0.9,2.55,1.3,1.25,2,3,-1,-2.25,60,53.85,43.85,0.94,0.67,181,19,18,12,19.15,17.91,8.69,3,8,21,7,17,98.9,65.19,16.93,14.32,34.2,20.08,9,Preußen Münster 2-3 Arminia Bielefeld,2026-04-25,L,0,0,0,1,-6.149999999999999,0.2699999999999999,2.21,-2.21,2.7127659574468086,1.4361702127659577,1.9402985074626866,1.507462686567164
4,Preußen Münster,0.56,2.91,-2.35,0.56,2.72,-2.16,0,0.19,-0.19,0.56,2.91,-2.35,1,4,-3,-0.65,43.1,23.23,34.59,0.56,2.4,93,9,4,24,7.14,10,21.89,6,4,8,2,7,6.7,2.68,34.8,33.44,3.2,0.98,3,Schalke 04 4-1 Preußen Münster,2026-04-19,L,0,0,0,1,-19.87,-1.8399999999999999,0.22,-0.22,1,1,1.2125000000000001,1.1333333333333335
5,Preußen Münster,1.49,0.18,1.31,1.28,0.17,1.11,0.21,0.02,0.19,1.49,0.18,1.31,0,0,0,-1.31,32.1,30.41,42.61,0.8,0.7,116,9,12,6,15,8.57,20.77,4,7,22,6,12,41.4,22.48,146.87,93.46,89.7,62.21,1,Preußen Münster 0-0 Greuther Fürth,2026-04-11,D,1,0,1,0,-1.6900000000000013,0.10000000000000009,2.89,-1.89,1.8624999999999998,1.5999999999999999,0.2571428571428572,0.24285714285714288
6,Preußen Münster,0.68,0.86,-0.18,0.65,0.69,-0.04,0.02,0.17,-0.15,0.68,0.86,-0.18,0,0,0,0.18,33.5,31.9,41.7,0.46,0.88,106,9,6,13,13.04,14.77,14.77,4,2,19,3,12,39,17,71.8,80.86,53.23,26.21,9,Holstein Kiel 0-0 Preußen Münster,2026-04-05,D,1,0,1,0,-1.6000000000000014,-0.42,1.23,-0.23,1.4782608695652175,1.4130434782608696,0.9772727272727273,0.7840909090909091
7,Preußen Münster,1.53,2.23,-0.7,1.44,1.47,-0.03,0.09,0,0.09,1.53,1.47,0.06,1,3,-2,-1.3,48.1,47.56,48.58,0.93,0.5,219,23,14,8,15.05,16,9.84,10,6,31,6,11,112,50.34,72.73,55.16,64.03,41.4,5,Preußen Münster 1-3 Magdeburg,2026-03-22,L,0,0,0,1,-0.5399999999999991,0.43000000000000005,1.08,-1.08,1.6451612903225805,1.5483870967741935,4.46,2.94
8,Preußen Münster,0.74,5.13,-4.39,0.48,3.88,-3.4,0.26,1.25,-0.99,0.74,5.13,-4.39,0,6,-6,-1.61,54.8,56.67,41.92,0.42,0.38,204,9,13,18,30.95,47.37,11.64,6,4,14,4,13,82.2,45.95,67.4,37.42,55.06,16.28,4,Dynamo Dresden 6-0 Preußen Münster,2026-03-15,L,0,0,0,1,1.8700000000000045,0.03999999999999998,0.15,-0.15,1.7619047619047619,1.1428571428571428,13.5,10.210526315789473
9,Preußen Münster,0.56,2.84,-2.28,0.38,1.33,-0.95,0.18,0.75,-0.57,0.56,2.08,-1.52,1,2,-1,1.28,41,34.68,40.69,0.62,0.44,112,11,11,15,17.74,34.09,13.88,2,10,12,4,10,48.9,25,62.67,81.45,68.7,36.74,8,Preußen Münster 1-2 Hertha BSC,2026-03-08,L,0,0,0,1,-6.32,0.18,0.23,-0.23,0.903225806451613,0.6129032258064516,6.454545454545454,3.022727272727273
