,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Nürnberg,3.09,3.54,-0.45,2.71,2.38,0.33,0.37,1.16,-0.79,3.09,3.54,-0.45,3,3,0,0.45,53.6,47.03,47.84,0.69,1.48,235,14,18,24,26.09,16.22,15.1,6,5,25,7,8,107.6,41.29,41.47,38.42,98.33,40.91,0,Hannover 96 3-3 Nürnberg,2026-05-17,D,1,0,1,0,-6.57,-0.79,1.34,-0.34,4.478260869565218,3.927536231884058,2.391891891891892,1.6081081081081081
1,Nürnberg,2.29,2,0.29,2.18,1.84,0.34,0.11,0.16,-0.05,2.29,2,0.29,3,0,3,2.71,48.3,42.7,40.46,0.78,0.92,136,13,16,16,20.51,17.39,16.04,2,5,12,5,8,78.5,46.18,32.93,40.06,56.13,37.52,1,Nürnberg 3-0 Schalke 04,2026-05-09,W,3,1,0,0,-5.599999999999994,-0.14,1.66,1.34,2.9358974358974357,2.794871794871795,2.1739130434782608,2
2,Nürnberg,2.11,1.82,0.29,1.46,0.81,0.65,0.65,1.01,-0.36,2.11,1.82,0.29,1,1,0,-0.29,57.9,57.48,48.46,0.8,0.45,207,20,20,13,25,28.89,8.57,6,6,20,5,12,166.4,70.09,22.87,25.56,150.57,57.92,2,Greuther Fürth 1-1 Nürnberg,2026-05-03,D,1,0,1,0,-0.4200000000000017,0.35000000000000003,1.67,-0.67,2.6374999999999997,1.825,4.044444444444444,1.8
3,Nürnberg,1.53,0.24,1.29,1.25,0.15,1.1,0.27,0.09,0.18,1.53,0.24,1.29,1,0,1,-0.29,48.8,51.47,47.21,1.38,0.55,210,19,13,6,9.42,10.91,13,2,6,19,3,11,112.6,67.63,45,42.37,114.97,67.65,0,Nürnberg 1-0 Magdeburg,2026-04-26,W,3,1,0,0,2.6700000000000017,0.8299999999999998,2.84,0.16,1.108695652173913,0.9057971014492754,0.4363636363636363,0.2727272727272727
4,Nürnberg,1.2,0.87,0.33,1.18,0.75,0.43,0.02,0.12,-0.1,1.2,0.87,0.33,1,1,0,-0.33,33.9,41.47,45.04,0.65,0.47,119,10,9,10,13.85,21.28,14.47,2,7,19,2,13,43.5,32.29,103.8,98.6,110.63,80.97,2,Arminia Bielefeld 1-1 Nürnberg,2026-04-18,D,1,0,1,0,7.57,0.18000000000000005,1.86,-0.86,1.846153846153846,1.8153846153846152,1.8510638297872342,1.595744680851064
5,Nürnberg,1.65,0.75,0.9,1.57,0.66,0.91,0.08,0.09,-0.01,1.65,0.75,0.9,0,2,-2,-2.9,54,55.25,46.94,1.05,0.52,223,15,16,10,15.24,19.23,12.69,3,9,31,5,9,115.2,69.57,53.13,42.85,113.5,69.03,0,Nürnberg 0-2 Dynamo Dresden,2026-04-11,L,0,0,0,1,1.25,0.53,2.31,-2.31,1.5714285714285712,1.4952380952380953,1.4423076923076923,1.2692307692307692
6,Nürnberg,1.53,1.52,0.01,1.4,1.37,0.03,0.13,0.14,-0.01,1.53,1.52,0.01,1,1,0,-0.01,50.8,53.33,45.1,1.02,0.42,163,17,10,16,9.8,38.1,7.31,5,7,15,4,23,93.4,56.85,34.07,38.6,104.13,53.98,3,Eintracht Braunschweig 1-1 Nürnberg,2026-04-05,D,1,0,1,0,2.530000000000001,0.6000000000000001,1.51,-0.51,1.5,1.372549019607843,3.619047619047619,3.2619047619047623
7,Nürnberg,2.99,1.13,1.86,1.14,1.05,0.09,1.09,0.08,1.01,2.23,1.13,1.1,3,0,3,1.14,48.2,57.59,50.43,0.89,0.2,196,28,21,6,23.6,30,9.53,6,2,32,11,10,165.5,67.88,73.73,87.98,306.16,83.26,3,Nürnberg 3-0 Kaiserslautern,2026-03-21,W,3,1,0,0,9.39,0.69,2.45,0.55,3.359550561797753,1.2808988764044942,5.6499999999999995,5.25
8,Nürnberg,1.82,3.5,-1.68,1.66,2.43,-0.77,0.16,1.08,-0.92,1.82,3.5,-1.68,3,2,1,2.68,38.1,31.27,39.35,0.71,0.65,89,8,9,21,12.68,32.31,11.85,2,6,10,1,13,51.5,21.74,102.73,80.72,85.83,44.6,0,Holstein Kiel 2-3 Nürnberg,2026-03-14,W,3,1,0,0,-6.830000000000002,0.05999999999999994,0.8,2.2,2.563380281690141,2.3380281690140845,5.384615384615384,3.7384615384615385
9,Nürnberg,0.89,2.81,-1.92,0.88,2.41,-1.53,0.01,0.4,-0.39,0.89,2.81,-1.92,0,1,-1,0.92,52.1,49.81,45.79,0.47,0.73,197,13,9,17,19.15,23.29,13.78,4,4,22,3,10,70.9,34.53,23.93,28.09,41.9,20.45,1,Nürnberg 0-1 Fortuna Düsseldorf,2026-03-07,L,0,0,0,1,-2.289999999999999,-0.26,0.44,-0.44,1.893617021276596,1.872340425531915,3.849315068493151,3.301369863013699
10,Nürnberg,0.92,1.23,-0.31,0.92,1.23,-0.31,0,0,0,0.92,1.23,-0.31,1,2,-1,-0.69,46.3,51.35,45.28,0.73,0.3,181,12,5,14,6.85,46.67,13.97,5,5,26,6,13,42,31,59.53,61.88,57.97,35.44,0,Hertha BSC 2-1 Nürnberg,2026-03-01,L,0,0,0,1,5.050000000000004,0.43,1.17,-1.17,1.2602739726027399,1.2602739726027399,4.1000000000000005,4.1000000000000005
11,Nürnberg,0.89,1.44,-0.55,0.86,0.62,0.24,0.03,0.06,-0.03,0.89,0.68,0.21,1,1,0,0.55,48.1,54.79,46.59,1,0.67,205,13,9,8,9,11.94,11.91,8,3,23,3,9,89.7,50.36,68.33,57.52,106.83,63.59,1,Bochum 1-1 Nürnberg,2026-02-20,D,1,0,1,0,6.689999999999998,0.32999999999999996,0.97,0.03,0.89,0.86,2.1492537313432836,0.9253731343283581
12,Nürnberg,2.68,1.97,0.71,2.68,1.14,1.54,0,0.07,-0.07,2.68,1.21,1.47,5,1,4,3.29,42.7,31.44,42.94,0.65,0.7,157,8,12,11,18.46,15.71,14.5,5,3,16,4,11,52.4,28.26,77.8,75.78,113.21,67.79,0,Nürnberg 5-1 Karlsruher SC,2026-02-13,W,3,1,0,0,-11.260000000000002,-0.04999999999999993,1.85,1.15,4.1230769230769235,4.1230769230769235,2.8142857142857145,1.6285714285714286
13,Nürnberg,0.89,2.11,-1.22,0.89,1.31,-0.42,0,0.05,-0.05,0.89,1.35,-0.46,1,2,-1,0.22,46,30.88,41.02,0.27,0.9,112,6,7,15,25.93,16.67,12.58,0,16,18,5,14,28.4,14.57,57.53,63.41,21.43,7.83,1,Paderborn 2-1 Nürnberg,2026-02-07,L,0,0,0,1,-15.120000000000001,-0.63,0.63,-0.63,3.2962962962962963,3.2962962962962963,2.344444444444444,1.4555555555555555
14,Nürnberg,1.65,0.91,0.74,1.51,0.9,0.61,0.15,0.01,0.14,1.65,0.91,0.74,1,1,0,-0.74,53.7,61.79,48.74,1.1,0.53,238,17,17,10,15.45,18.87,9.89,5,4,24,7,7,112.4,71.59,53.47,47.23,135.1,65.37,0,Nürnberg 1-1 Preußen Münster,2026-01-30,D,1,0,1,0,8.089999999999996,0.5700000000000001,2.14,-1.14,1.4999999999999998,1.3727272727272726,1.7169811320754718,1.6981132075471699
15,Nürnberg,1.98,1.35,0.63,1.78,1.27,0.51,0.2,0.07,0.13,1.98,1.35,0.63,0,2,-2,-2.63,51.3,55.39,47.4,0.69,0.58,231,16,20,9,28.99,15.52,17.68,2,10,19,6,7,147.1,72.46,52.73,53.05,145.87,65.23,3,Darmstadt 98 2-0 Nürnberg,2026-01-23,L,0,0,0,1,4.090000000000003,0.10999999999999999,1.93,-1.93,2.8695652173913047,2.5797101449275366,2.327586206896552,2.189655172413793
16,Nürnberg,3.13,2.73,0.4,2.62,1.91,0.71,0.51,0.06,0.45,3.13,1.97,1.16,3,2,1,0.6,50.1,58.98,48.54,0.93,0.57,205,16,27,13,29.03,22.81,9.08,7,12,18,7,10,162.9,71.01,52.27,72.2,169.77,76.89,1,Nürnberg 3-2 Elversberg,2026-01-17,W,3,1,0,0,8.879999999999995,0.3600000000000001,1.66,1.34,3.365591397849462,2.817204301075269,4.7894736842105265,3.3508771929824563
17,Nürnberg,1.27,2.22,-0.95,1.07,2.14,-1.07,0.21,0.07,0.14,1.27,2.22,-0.95,2,1,1,1.95,32.8,33.33,38.71,0.64,1.1,88,10,10,15,15.62,13.64,15.88,3,5,13,3,14,35.3,21.45,117.8,89.33,90.4,52.69,3,Nürnberg 2-1 Hannover 96,2025-12-21,W,3,1,0,0,0.5300000000000011,-0.4600000000000001,0.89,2.11,1.984375,1.671875,2.018181818181818,1.9454545454545453
18,Nürnberg,0.66,0.94,-0.28,0.63,0.94,-0.31,0.03,0,0.03,0.66,0.94,-0.28,0,1,-1,-0.72,65.5,54.98,43.36,0.46,0.67,208,11,5,7,10.87,10.45,6.56,1,7,28,7,16,73.8,59.95,5.47,4.16,40.7,21.79,4,Schalke 04 1-0 Nürnberg,2025-12-14,L,0,0,0,1,-10.520000000000003,-0.21000000000000002,1.1,-1.1,1.434782608695652,1.3695652173913042,1.4029850746268655,1.4029850746268655
