,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Paderborn,1.83,3.18,-1.35,0.98,3.14,-2.16,0.09,0.03,0.06,1.07,3.18,-2.11,2,0,2,3.35,49.7,39.92,44.28,0.66,1.6,159,6,7,23,10.61,14.38,12,4,9,13,2,12,40.4,21.14,46.4,54.29,52.07,31.94,2,Darmstadt 98 0-2 Paderborn,2026-05-17,W,3,1,0,0,-9.780000000000001,-0.9400000000000001,0.9,2.1,2.7727272727272725,1.4848484848484849,1.9875,1.9625
1,Paderborn,3.09,0.75,2.34,2.95,0.7,2.25,0.15,0.06,0.09,3.09,0.75,2.34,2,2,0,-2.34,49.5,57.63,44.16,0.79,0.49,200,18,19,8,24.05,16.33,13.79,7,1,14,4,8,129.4,63.59,85.47,60.02,162.57,71.84,7,Paderborn 2-2 Karlsruher SC,2026-05-08,D,1,0,1,0,8.130000000000003,0.30000000000000004,2.69,-1.69,3.9113924050632907,3.7341772151898733,1.530612244897959,1.4285714285714286
2,Paderborn,2.09,2.72,-0.63,2.05,2.32,-0.27,0.04,0.4,-0.36,2.09,2.72,-0.63,1,5,-4,-3.37,57.5,65.06,44.56,0.71,0.85,188,17,11,8,15.49,9.41,7.44,10,5,26,6,15,112.2,70.17,32.47,32.06,76.94,36.42,5,Elversberg 5-1 Paderborn,2026-05-03,L,0,0,0,1,7.560000000000002,-0.14,1.2,-1.2,2.943661971830986,2.8873239436619715,3.2,2.7294117647058824
3,Paderborn,1.93,3.06,-1.13,1.31,3.06,-1.75,0.62,0,0.62,1.93,3.06,-1.13,2,3,-1,0.13,45,38.64,37.95,0.85,0.85,111,15,14,11,16.47,12.94,10.63,3,14,20,7,12,68.5,42.15,57.6,52.52,80.27,45.54,4,Paderborn 2-3 Schalke 04,2026-04-26,L,0,0,0,1,-6.359999999999999,0,0.99,-0.99,2.2705882352941176,1.5411764705882354,3.6,3.6
4,Paderborn,2.03,0.71,1.32,1.11,0.55,0.56,0.91,0.17,0.74,2.03,0.71,1.32,1,1,0,-1.32,34.9,40.27,44.13,0.7,0.63,139,11,16,5,22.86,7.94,14.97,8,4,10,3,16,84.1,43.28,157.8,91.81,182.93,78.94,2,Hannover 96 1-1 Paderborn,2026-04-18,D,1,0,1,0,5.3700000000000045,0.06999999999999995,2.5,-1.5,2.9,1.5857142857142859,1.126984126984127,0.8730158730158731
5,Paderborn,1.64,1.12,0.52,0.86,0.72,0.14,0.77,0.39,0.38,1.64,1.12,0.52,4,3,1,0.48,42.4,37.39,44.65,0.92,0.65,163,13,10,16,10.87,24.62,15.48,5,4,14,4,15,59.1,26.63,76.27,73.1,92.1,40.9,0,Paderborn 4-3 Magdeburg,2026-04-12,W,3,1,0,0,-5.009999999999998,0.27,1.93,1.07,1.7826086956521738,0.9347826086956521,1.7230769230769232,1.1076923076923075
6,Paderborn,1.59,0.67,0.92,1.57,0.67,0.9,0.02,0,0.02,1.59,0.67,0.92,2,0,2,1.08,43.4,48.35,48.29,0.87,1.07,192,12,15,16,17.24,14.95,16.54,5,3,16,4,12,113.9,44.93,65,57.12,133.23,54.5,3,Greuther Fürth 0-2 Paderborn,2026-04-05,W,3,1,0,0,4.950000000000003,-0.20000000000000007,2.37,0.63,1.8275862068965518,1.8045977011494254,0.6261682242990654,0.6261682242990654
7,Paderborn,3.35,1.66,1.69,2.73,1.51,1.22,0.62,0.15,0.47,3.35,1.66,1.69,2,1,1,-0.69,52.7,70.92,47.01,1.73,0.44,224,17,22,16,12.72,36.36,13.65,8,5,22,4,8,152.4,87.34,62.07,60.1,168.67,82.94,1,Paderborn 2-1 Dynamo Dresden,2026-03-21,W,3,1,0,0,18.22,1.29,2.24,0.76,1.9364161849710984,1.5780346820809248,3.7727272727272725,3.4318181818181817
8,Paderborn,0.89,3.36,-2.47,0.89,2.24,-1.35,0,0.36,-0.36,0.89,2.6,-1.71,2,2,0,2.47,59.6,53.54,42.84,0.51,1.07,174,8,7,26,13.73,24.3,9.07,6,3,20,1,12,45,27.71,21.47,17.38,23.17,11.77,4,Arminia Bielefeld 2-2 Paderborn,2026-03-14,D,1,0,1,0,-6.060000000000002,-0.56,0.35,0.65,1.7450980392156863,1.7450980392156863,3.1401869158878504,2.093457943925234
9,Paderborn,1.53,0.68,0.85,1.47,0.65,0.82,0.06,0.03,0.03,1.53,0.68,0.85,1,1,0,-0.85,68,77.3,48.97,1.47,0.24,280,16,18,6,12.24,25,7.71,8,1,36,9,9,179.2,91.48,6.2,5.42,86.63,63.08,5,Paderborn 1-1 Eintracht Braunschweig,2026-03-07,D,1,0,1,0,9.299999999999997,1.23,2.33,-1.33,1.0408163265306123,1,2.8333333333333335,2.7083333333333335
