,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
0,Schalke 04,2.02,0.4,1.62,1.92,0.19,1.73,0.1,0.21,-0.11,2.02,0.4,1.62,1,0,1,-0.62,68.3,68.36,48.33,1.01,0.32,342,18,13,6,12.87,18.75,11,5,4,18,3,8,189.3,82.7,4.8,2.94,113.37,58.97,1,Schalke 04 1-0 Eintracht Braunschweig,2026-05-17,W,3,1,0,0,0.060000000000002274,0.69,2.77,0.23,2,1.900990099009901,1.25,0.59375
1,Schalke 04,2,2.29,-0.29,1.84,2.18,-0.34,0.16,0.11,0.05,2,2.29,-0.29,0,3,-3,-2.71,51.7,57.3,44.81,0.92,0.78,188,18,16,16,17.39,20.51,10.34,5,2,11,5,10,91.5,53.82,49.27,59.94,93.47,62.48,4,Nürnberg 3-0 Schalke 04,2026-05-09,L,0,0,0,1,5.599999999999994,0.14,1.34,-1.34,2.1739130434782608,2,2.9358974358974357,2.794871794871795
2,Schalke 04,1.95,0.57,1.38,1.76,0.52,1.24,0.19,0.04,0.15,1.95,0.57,1.38,1,0,1,-0.38,40.2,61.11,49.51,0.32,0.44,176,11,14,6,43.75,13.64,11.45,6,1,11,4,6,103.6,70.09,110.4,96.67,214.83,90.93,3,Schalke 04 1-0 Fortuna Düsseldorf,2026-05-02,W,3,1,0,0,20.909999999999997,-0.12,2.61,0.39,6.09375,5.5,1.2954545454545454,1.1818181818181819
3,Schalke 04,3.06,1.93,1.13,3.06,1.31,1.75,0,0.62,-0.62,3.06,1.93,1.13,3,2,1,-0.13,55,61.36,50.17,0.85,0.85,254,13,11,14,12.94,16.47,9.37,14,3,17,2,8,94,57.85,52.07,47.48,96,54.46,2,Paderborn 2-3 Schalke 04,2026-04-26,W,3,1,0,0,6.359999999999999,0,2.01,0.99,3.6,3.6,2.2705882352941176,1.5411764705882354
4,Schalke 04,2.91,0.56,2.35,2.72,0.56,2.16,0.19,0,0.19,2.91,0.56,2.35,4,1,3,0.65,56.9,76.77,56.42,2.4,0.56,368,26,24,4,10,7.14,12.19,4,6,22,7,9,243.5,97.32,69.27,66.56,323.57,99.02,3,Schalke 04 4-1 Preußen Münster,2026-04-19,W,3,1,0,0,19.869999999999997,1.8399999999999999,2.78,0.22,1.2125000000000001,1.1333333333333335,1,1
5,Schalke 04,2.17,0.76,1.41,1.92,0.68,1.24,0.25,0.08,0.17,2.17,0.76,1.41,2,1,1,-0.41,42,45.85,53.58,0.96,0.98,185,10,9,11,9.38,11.22,14.04,2,2,7,2,9,83.4,35.52,72.2,84.61,86.5,59.85,2,Elversberg 1-2 Schalke 04,2026-04-12,W,3,1,0,0,3.8500000000000014,-0.020000000000000018,2.5,0.5,2.2604166666666665,2,0.7755102040816326,0.6938775510204083
6,Schalke 04,2.13,0.29,1.84,2.13,0.27,1.86,0,0.02,-0.02,2.13,0.29,1.84,1,0,1,-0.84,52.6,63.53,52.35,1,0.33,292,14,24,4,24,12.12,12.69,1,7,22,2,13,195.5,86.73,75.67,64.31,230.77,91.88,1,Schalke 04 1-0 Karlsruher SC,2026-04-05,W,3,1,0,0,10.93,0.6699999999999999,2.87,0.13,2.13,2.13,0.8787878787878787,0.8181818181818182
7,Schalke 04,2.56,1.25,1.31,1.56,0.75,0.81,1,0.5,0.5,2.56,1.25,1.31,1,1,0,-1.31,40.1,55.17,50.1,0.48,0.34,158,14,16,10,33.33,29.41,12.7,4,2,16,5,16,99.5,62.82,115.87,95.6,182.4,86.38,5,Darmstadt 98 1-1 Schalke 04,2026-03-21,D,1,0,1,0,15.07,0.13999999999999996,2.25,-1.25,5.333333333333334,3.2500000000000004,3.676470588235294,2.205882352941176
8,Schalke 04,0.79,2.39,-1.6,0.67,0.85,-0.18,0.13,0.78,-0.65,0.79,1.63,-0.84,2,2,0,1.6,36.2,41.11,51.05,0.8,0.87,168,16,10,10,12.5,11.49,11.79,7,2,11,4,15,83.8,34.43,149.87,97.23,170.13,73.84,1,Schalke 04 2-2 Hannover 96,2026-03-15,D,1,0,1,0,4.909999999999997,-0.06999999999999995,0.46,0.54,0.9875,0.8375,2.7471264367816093,0.9770114942528736
9,Schalke 04,3.16,1.35,1.81,1.26,1.33,-0.07,1.89,0.01,1.88,3.16,1.35,1.81,1,0,1,-0.81,45.2,52.65,54.15,0.83,1.18,185,23,24,12,28.92,10.17,10.16,4,1,22,9,7,140.5,63.98,43.53,82.24,185.67,76.63,7,Schalke 04 1-0 Arminia Bielefeld,2026-03-06,W,3,1,0,0,7.449999999999996,-0.35,2.36,0.64,3.807228915662651,1.5180722891566265,1.1440677966101696,1.1271186440677967
